# signature_presence | collection scie (stemness x immunogenicity (SCIE)) | run drvi_tum_64_nomt | three coordinate systems on ONE set of cells and ONE set of per-cell scores; the `space` column says which. The run id names the cells and the scores (05_6), not the space | 05_9 embedding control
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
space,readout,axis,kind,morans_i,knn_r2_cell,knn_r2_cohort,top_decile_nbr_frac,top_decile_fold,max_abs_rho,best_dim,best_dim_rho,ridge_r2_cohort,nonlinear_gap,space_r2_cohort,morans_i_perm_mean,morans_i_perm_sd,morans_i_perm_p,knn_r2_cohort_perm_mean,top_decile_fold_perm_mean,morans_i_random_mean,morans_i_random_sd,morans_i_vs_random_z,knn_r2_cohort_random_mean,n_random_sets
drvi,HALLMARK_IFNA,immune,signature,0.50901,0.59861,0.39878,0.3942,3.94167,0.53445,DR 8,-0.53445,0.54811,-0.14932,0.54811,-8e-05,0.0014,0.04762,-0.06694,1.00473,0.28321,0.02462,9.17219,0.05258,5.0
drvi,HALLMARK_IFNG,immune,signature,0.53422,0.61111,0.39517,0.42478,4.24742,0.46695,DR 43,-0.46695,0.55664,-0.16147,0.55664,-0.00028,0.00118,0.04762,-0.06705,1.00184,0.35927,0.01568,11.15485,0.04433,5.0
drvi,ISDS,immune,signature,0.49192,0.57229,0.38414,0.3774,3.77367,0.56086,DR 8,-0.56086,0.51577,-0.13163,0.51577,-0.00021,0.00141,0.04762,-0.06557,1.0087,0.1756,0.04505,7.02093,0.00286,5.0
drvi,KEGG_APM,immune,signature,0.57828,0.64025,0.44222,0.42896,4.28922,0.60968,DR 64,-0.60968,0.62863,-0.18642,0.62863,0.0006,0.00136,0.04762,-0.06571,1.0246,0.35658,0.01592,13.92803,0.09501,5.0
drvi,IMMUNOGENIC_CONSENSUS,immune,signature,0.59151,0.68255,0.51667,0.46945,4.69409,0.72902,DR 64,-0.72902,0.64968,-0.13301,0.64968,-4e-05,0.0015,0.04762,-0.06641,1.02194,0.22617,0.04241,8.61486,0.03778,5.0
drvi,BENPORATH_ES1,stemness,signature,0.42402,0.44799,0.2509,0.31422,3.1419,0.3624,DR 39,0.3624,0.50925,-0.25835,0.50925,-0.00043,0.00151,0.04762,-0.0664,0.99595,0.33059,0.0282,3.3132,0.01922,5.0
drvi,ESC_ASSOU,stemness,signature,0.5247,0.55192,0.27189,0.36184,3.61803,0.42367,DR 60,0.42367,0.60236,-0.33047,0.60236,0.00011,0.0015,0.04762,-0.06584,1.01359,0.47675,0.01628,2.94422,0.0604,5.0
drvi,ESC_WONG,stemness,signature,0.52327,0.571,0.31402,0.35408,3.54044,0.38068,DR 60,0.38068,0.5647,-0.25069,0.5647,-0.00088,0.00143,0.04762,-0.06729,1.01128,0.47516,0.00734,6.55122,0.09344,5.0
drvi,LIM_STEM,stemness,signature,0.41808,0.49578,0.29175,0.28854,2.88508,0.34774,DR 45,0.34774,0.4892,-0.19745,0.4892,-0.00047,0.00128,0.04762,-0.06675,0.99994,0.08777,0.01802,18.33433,-0.01639,5.0
drvi,FMASC,stemness,signature,0.49253,0.5544,0.40398,0.39118,3.91143,0.37068,DR 38,0.37068,0.47912,-0.07515,0.47912,-0.00029,0.00112,0.04762,-0.06545,0.99763,0.23422,0.02326,11.10399,0.13491,5.0
drvi,CytoTRACE2,stemness,signature,0.43821,0.48069,0.14538,0.31838,3.18355,0.41173,DR 60,0.41173,0.42914,-0.28377,0.42914,0.00011,0.00153,0.04762,-0.06616,1.04135,,,,,
drvi,__depth,confounder,reference,0.50586,0.55499,0.14887,0.34456,3.44528,0.53355,DR 60,0.53355,0.59875,-0.44988,0.59875,-0.00018,0.00104,0.04762,-0.06614,1.04547,,,,,
drvi,__mito,confounder,reference,0.3419,0.36879,0.16632,0.19701,1.96988,0.41695,DR 37,0.41695,0.26934,-0.10302,0.26934,-9e-05,0.00162,0.04762,-0.06532,1.02225,,,,,
