# pipeline_recall | collection scie (stemness x immunogenicity (SCIE)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
arm,description,unit,resolution,n_gene_lists,n_gene_lists_empty,median_genes_per_list,n_tests,n_signatures_testable,n_signatures_recovered,recall_any,n_signatures_named,recall_named,n_units_with_a_name,n_significant_pairs,mean_hits_per_list,max_hits_per_list,frac_lists_with_no_hit,median_best_fdr,recovered,named,min_cluster_cells,median_cluster_cells,max_cohort_dominance,n_clusters_one_cohort_over_80pct,recall
drvi_axes,"05_3: DRVI decoder, 64 dimensions x 2 directions (8 flagged vanished and NOT pruned)",axis,,128,0,200.0,1280,10,10,1.0,9,0.9,84,183,1.4296875,5,0.34375,1.8574309358599392e-20,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,,,,,0.9
drvi_axes_matched,"the first 75 of the 128 decoder directions, in DRVI's own reconstruction-effect order - the widest Leiden partition of this run",axis,,75,0,200.0,750,10,10,1.0,7,0.7,47,120,1.6,5,0.37333333333333335,1.0883384389804329e-20,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; KEGG_APM; LIM_STEM,,,,,0.7
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.2,18,0,147.0,180,10,10,1.0,7,0.7,9,28,1.5555555555555556,5,0.5,7.96752639935022e-10,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; LIM_STEM,5.0,112.0,1.0,12.0,0.7
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.4,18,0,200.0,180,10,10,1.0,5,0.5,8,23,1.2777777777777777,7,0.5555555555555556,5.668569193600707e-09,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,ESC_ASSOU; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; LIM_STEM,13.0,1326.5,1.0,9.0,0.5
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.6,26,0,186.5,260,10,10,1.0,8,0.8,13,43,1.6538461538461537,9,0.5,4.4148015369627966e-11,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; LIM_STEM,6.0,1366.0,1.0,13.0,0.8
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.8,28,0,200.0,280,10,10,1.0,7,0.7,18,60,2.142857142857143,9,0.35714285714285715,2.7967566639974985e-11,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; KEGG_APM; LIM_STEM,10.0,1347.0,1.0,14.0,0.7
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,1.0,36,0,169.0,360,10,10,1.0,8,0.8,22,74,2.0555555555555554,9,0.3888888888888889,5.803572156729443e-18,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; KEGG_APM; LIM_STEM,6.0,749.0,1.0,18.0,0.8
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,1.5,45,0,175.0,450,10,10,1.0,8,0.8,30,98,2.1777777777777776,9,0.3333333333333333,3.2357296071171997e-18,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; KEGG_APM; LIM_STEM,10.0,583.0,1.0,22.0,0.8
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,2.0,57,0,169.0,570,10,10,1.0,8,0.8,38,127,2.2280701754385963,9,0.3333333333333333,4.0002888623810336e-19,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; KEGG_APM; LIM_STEM,5.0,461.0,1.0,31.0,0.8
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,3.0,75,0,157.0,750,10,10,1.0,8,0.8,50,169,2.2533333333333334,9,0.3333333333333333,1.987945166424724e-18,BENPORATH_ES1; ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; ISDS; KEGG_APM; LIM_STEM,ESC_ASSOU; ESC_WONG; FMASC; HALLMARK_IFNA; HALLMARK_IFNG; IMMUNOGENIC_CONSENSUS; KEGG_APM; LIM_STEM,5.0,429.0,1.0,35.0,0.8
