# programme_recovery | collection scie (stemness x immunogenicity (SCIE)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,n_genes_in_collection,n_genes_in_background,recovered__harmony_leiden,best_fdr__harmony_leiden,neglog_fdr__harmony_leiden,best_list__harmony_leiden,n_lists_hitting__harmony_leiden,n_lists_naming__harmony_leiden,named__harmony_leiden,recovered__drvi_leiden,best_fdr__drvi_leiden,neglog_fdr__drvi_leiden,best_list__drvi_leiden,n_lists_hitting__drvi_leiden,n_lists_naming__drvi_leiden,named__drvi_leiden,recovered__pca_leiden,best_fdr__pca_leiden,neglog_fdr__pca_leiden,best_list__pca_leiden,n_lists_hitting__pca_leiden,n_lists_naming__pca_leiden,named__pca_leiden,recovered__drvi_axes,best_fdr__drvi_axes,neglog_fdr__drvi_axes,best_list__drvi_axes,n_lists_hitting__drvi_axes,n_lists_naming__drvi_axes,named__drvi_axes,recovered__drvi_axes_matched,best_fdr__drvi_axes_matched,neglog_fdr__drvi_axes_matched,best_list__drvi_axes_matched,n_lists_hitting__drvi_axes_matched,n_lists_naming__drvi_axes_matched,named__drvi_axes_matched,recovered__null_partition,best_fdr__null_partition,neglog_fdr__null_partition,best_list__null_partition,n_lists_hitting__null_partition,n_lists_naming__null_partition,named__null_partition,eta2_cluster__harmony_leiden,eta2_cluster__drvi_leiden,eta2_cluster__pca_leiden,eta2_cluster__null_partition
BENPORATH_ES1,368,64,True,1.8701236317495675e-15,14.728129681799432,5,4,0,False,True,1.3103911998243876e-20,19.882599032159163,5,5,0,False,True,7.344171981441786e-05,4.134057161638429,21,6,0,False,True,3.661147837907045e-20,19.43638273386337,DR 5+,14,0,False,True,2.1452038112736588e-20,19.668531440119537,DR 5+,8,0,False,False,,,,0,0,False,0.3334545635285776,0.1789237160120387,0.15202629434473197,0.00045427051208966467
ESC_ASSOU,801,130,True,1.928762334075078e-20,19.714721283687776,5,4,1,True,True,5.6491047795259875e-28,27.248020369900257,5,6,2,True,True,2.840485650890988e-09,8.546607400280264,21,10,4,True,True,6.892770530505482e-28,27.161606179505824,DR 5+,43,35,True,True,4.038732732718056e-28,27.393754885761993,DR 5+,22,14,True,False,,,,0,0,False,0.4198976604543546,0.2528110437561076,0.2169325360177014,0.0003045087220176229
ESC_WONG,297,61,True,7.15763569139616e-21,20.14523041005928,8,4,3,True,True,6.245127491346941e-28,27.20445869128131,5,6,2,True,True,4.960124432668558e-11,10.304507428400232,21,6,1,True,True,7.709984420500686e-29,28.112946499523286,DR 5+,21,9,True,True,4.51756899638712e-29,28.345095205779455,DR 5+,14,6,True,False,,,,0,0,False,0.3703272255046341,0.2827030165604754,0.22496471445484645,0.00027293897937948145
FMASC,1692,284,True,8.20398758416604e-12,11.085975005560163,5,6,1,True,True,1.1594040401460641e-17,16.935765190587563,5,6,1,True,True,1.3063075597043838e-05,4.883954559847266,28,3,2,True,True,5.81762833493245e-20,19.23525402754476,DR 3+,11,2,True,True,3.408766602499483e-20,19.467402733800924,DR 3+,10,2,True,False,,,,0,0,False,0.3018908288954874,0.25536147839392453,0.22905994899292442,0.0006707237987753007
HALLMARK_IFNA,96,44,True,2.7228659568645707e-18,17.564973737884028,4,5,3,True,True,1.3103911998243876e-20,19.882599032159163,20,10,3,True,True,4.8237598957827355e-19,18.316614317478972,20,6,2,True,True,1.2167401717209605e-36,35.91480215310549,DR 34-,20,4,True,True,7.129336943677504e-37,36.14695085936166,DR 34-,15,3,True,False,,,,0,0,False,0.1860226653453543,0.12296581477583698,0.09176723073570581,0.00048107625459774186
HALLMARK_IFNG,197,98,True,1.928762334075078e-20,19.714721283687776,4,5,2,True,True,1.7984457549848114e-23,22.74510265690916,20,11,5,True,True,5.778326848654879e-22,21.238197896110282,20,8,3,True,True,8.927738971173768e-41,40.049258516103194,DR 23-,17,9,True,True,5.23109705342213e-41,40.28140722235936,DR 23-,14,9,True,False,,,,0,0,False,0.2327733858230737,0.14555710561018767,0.1163256830178622,0.0003345025543284221
IMMUNOGENIC_CONSENSUS,25,17,True,3.905035289523944e-11,10.40837503708085,4,4,0,False,True,5.821170617923891e-11,10.234989671401094,15,8,2,True,True,8.881016711960807e-11,10.051537312699043,20,7,1,True,True,3.8791369670145654e-12,11.411264885785748,DR 18-,11,1,True,True,2.272931816610097e-12,11.643413592041917,DR 18-,6,0,False,False,,,,0,0,False,0.21463198929244917,0.1844696510245656,0.145330779558415,0.000420583209034679
ISDS,27,15,True,6.382949892146358e-11,10.194978564883959,9,4,0,False,True,9.990704179011692e-11,10.000403900134264,20,8,0,False,True,1.482747366250148e-10,9.828932838715328,20,5,0,False,True,3.9383327965932997e-14,13.404687587939573,DR 23-,16,4,True,True,2.3076168730038864e-14,13.636836294195742,DR 23-,9,0,False,False,,,,0,0,False,0.17298671867697712,0.14266824854235338,0.10975798580589918,0.00043672342665307775
KEGG_APM,65,30,True,2.7228659568645707e-18,17.564973737884028,4,4,1,True,True,1.1911715342360544e-16,15.924025693590265,9,9,3,True,True,6.55445860459063e-15,14.1834631750264,22,8,4,True,True,6.8543357956503314e-15,14.164034623188074,DR 18-,14,6,True,True,4.016212380263866e-15,14.396183329444243,DR 18-,12,4,True,False,,,,0,0,False,0.24279860835938863,0.17485501122254782,0.15326127131970244,0.0004569161608596557
LIM_STEM,465,140,True,2.178702141747979e-16,15.661802139665333,10,4,4,True,True,4.791539184869245e-09,8.319524955871593,14,5,4,True,True,2.910407914127418e-05,4.536046137323612,14,8,5,True,True,5.371403381283337e-22,21.269912231782527,DR 1+,16,14,True,True,3.147306668720705e-22,21.502060938038696,DR 1+,10,9,True,False,,,,0,0,False,0.158893054522738,0.2168914797844111,0.14344806747365796,0.0005234343893100601
