# convergence | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,A_vs_null,dimension_vanished,confounder_flags
DR 1+,DR 1,+,LIM_STEM,0.3477,LIM_STEM,0.3477,0.3781581973337293,-0.39100626,LIM_STEM,20.9436,1.1386755619502108e-21,True,True,True,True,stemness,stemness,convergent,above,False,none
DR 1-,DR 1,-,ESC_WONG,0.2659,ESC_WONG,0.2659,0.6218418026662706,0.39100626,ESC_ASSOU,1.6649,0.021632165654072947,False,True,False,False,stemness,stemness,factor_only,below,False,"depth,cell_cycle"
DR 2+,DR 2,+,ESC_ASSOU,0.4237,ESC_ASSOU,0.4237,0.7190151827387709,0.5969514,ESC_ASSOU,1.9349,0.011617160780585677,True,True,True,True,stemness,stemness,convergent,above,False,"depth,cell_cycle"
DR 2-,DR 2,-,ISDS,0.1842,ISDS,0.1842,0.28098481726122915,-0.5969514,KEGG_APM,5.8055,1.5649483192248687e-06,False,True,False,False,immune,immune,factor_only,below,False,depth
DR 3+,DR 3,+,FMASC,0.3707,FMASC,0.3707,0.7268555524988868,0.9072107,ESC_WONG,23.8604,1.3791134690236049e-24,True,True,False,True,stemness,stemness,convergent,above,False,cell_cycle
DR 3-,DR 3,-,HALLMARK_IFNG,0.199,HALLMARK_IFNG,0.199,0.2731444475011132,-0.9072107,HALLMARK_IFNG,0.5452,0.2849705627341153,False,False,False,False,immune,immune,neither,below,False,none
DR 4+,DR 4,+,ESC_WONG,0.1988,ESC_WONG,0.1988,0.5513472882192543,0.16275892,ESC_ASSOU,0.7447,0.18001139604180108,False,False,False,False,stemness,stemness,neither,below,False,"depth,cell_cycle"
DR 4-,DR 4,-,KEGG_APM,0.2517,KEGG_APM,0.2517,0.4486527117807457,-0.16275892,HALLMARK_IFNG,4.2792,5.257750822566938e-05,False,True,False,False,immune,immune,factor_only,below,False,none
DR 5+,DR 5,+,BENPORATH_ES1,0.3624,BENPORATH_ES1,0.3624,0.7121300517927681,0.8946159,ESC_WONG,27.8738,1.3372111832804207e-28,True,True,False,True,stemness,stemness,convergent,above,False,"depth,cell_cycle"
DR 5-,DR 5,-,KEGG_APM,0.1587,KEGG_APM,0.1587,0.2878699482072319,-0.8946159,ISDS,0.5633,0.27333799220533384,False,False,False,False,immune,immune,neither,below,False,depth
DR 6+,DR 6,+,FMASC,0.2712,FMASC,0.2712,0.5204201589767714,0.060866203,LIM_STEM,0.115,0.7673614893618189,False,False,False,False,stemness,stemness,neither,above,False,cell_cycle
