# dim_signature_spearman | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,HALLMARK_IFNA,HALLMARK_IFNG,ISDS,KEGG_APM,IMMUNOGENIC_CONSENSUS,BENPORATH_ES1,ESC_ASSOU,ESC_WONG,LIM_STEM,FMASC,CytoTRACE2
DR 22,0.1798,0.1587,0.116,0.3319,0.2239,0.1867,0.1213,0.0217,0.2652,0.1534,0.1599
DR 30,-0.121,-0.0854,-0.0766,-0.1915,-0.1807,0.038,-0.0088,0.0089,-0.0084,0.039,0.0199
DR 64,0.08,0.0532,0.1012,0.1313,0.1565,0.0514,0.0025,-0.0288,0.0022,0.1823,-0.0318
DR 41,0.097,0.1124,0.0506,0.1511,0.0981,0.1653,0.1818,0.1227,0.0148,0.0116,0.1863
DR 37,0.0162,0.0169,-0.026,0.0826,0.0069,0.2398,0.3018,0.2639,-0.0626,-0.0134,0.2447
DR 2,0.073,0.0622,0.1308,-0.0296,0.0621,-0.2118,-0.2774,-0.2675,0.2896,0.1092,-0.1874
DR 7,-0.1429,-0.1703,-0.1411,-0.1501,-0.1323,0.3183,0.2717,0.2923,-0.0446,0.2353,0.197
DR 26,-0.4088,-0.4452,-0.4176,-0.6047,-0.6993,0.0222,0.0211,0.055,0.0251,0.0347,0.0621
DR 11,-0.0821,-0.0545,-0.0718,-0.0359,-0.06,-0.0134,-0.0018,-0.0006,0.0337,-0.0198,-0.0006
DR 39,-0.07,-0.0575,-0.02,-0.0996,-0.035,-0.2048,-0.2592,-0.2142,0.0436,-0.0603,-0.2019
