# cytotrace2_by_cell_type_01_4 | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
cell_type_01_4,mean,median,size
CD4-Th,0.017407892587844854,0.017407892587844854,1
CD4-Treg,0.031158297473665206,0.019017750271804867,29
CD4-activated,0.06397691739721642,0.05253799591980143,8
CD4-naive,0.11602730399776007,0.11602730399776007,2
CD8-Tem,0.02201439503317303,0.014512056372556606,103
Fibro-matrix,0.09002290890032633,0.08996453909000696,59
GD,0.066218043052429,0.066218043052429,1
LummHR-SCGB,0.0907913841937518,0.08382784497945077,5459
LummHR-active,0.04645154600819194,0.03917394960577592,905
LummHR-major,0.06233237760891091,0.05550230681228253,7647
Lumsec-HLA,0.07799435644761793,0.07799435644761793,2
Lumsec-KIT,0.12516011633464108,0.11329420613617175,1255
Lumsec-basal,0.1702915017419974,0.1442396643213898,16429
Lumsec-major,0.09030604884057715,0.0815656289367718,940
Lumsec-myo,0.21045487381131603,0.21720476194751975,1034
Lumsec-prol,0.17280952159975554,0.14610930486069995,23623
Lymph-major,0.12072792813274165,0.12072792813274165,2
Macro-lipo,0.08807471251751557,0.07693273113697388,42
Macro-m2,0.05372341730925306,0.059306154115445875,5
NK,0.02297502428771101,0.018044253694397966,5
NK-ILCs,0.016810479754743597,0.013123653126206428,10
Vas-arterial,0.13696860126059615,0.13543345481284705,3
Vas-capillary,0.10171313571716363,0.10486412854935206,3
Vas-venous,0.12741717083646362,0.10609569729694382,14
basal,0.2238038324364856,0.18092050885275873,2425
mDC,0.08865313149516692,0.08865313149516692,1
mye-prol,0.10445449000392018,0.10445449000392018,1
pericytes,0.0885176353391113,0.08226454993466512,216
vsmc,0.1198255567143066,0.10453238076375337,9
