# factor_first_significant | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,hallmark,gs_ind_0,Androgen Response,7/20,0.002246635809414446,0.010983552846026179,5.132070054550675,31.29701252450603,+,DR 1,0.034166659438223654,True
DR 1+,hallmark,gs_ind_0,Apoptosis,17/55,1.1244547191791e-05,0.000123690019109701,4.36586574188754,49.75177857827408,+,DR 1,0.00043179061216477437,True
DR 1+,hallmark,gs_ind_0,Estrogen Response Early,28/45,4.095061886952686e-18,1.8018272302591819e-16,16.838012422360247,674.1392912224005,+,DR 1,7.670750071169909e-16,True
DR 1+,hallmark,gs_ind_0,Estrogen Response Late,27/65,9.353591780498231e-12,2.0577901917096106e-10,7.256072457801564,184.26985171486788,+,DR 1,1.0564056599150944e-09,True
DR 1+,hallmark,gs_ind_0,Hypoxia,18/70,9.822526375860494e-05,0.0006174159436255168,3.376099151989563,31.15547723321834,+,DR 1,0.00276326016727504,True
DR 1+,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,27/93,1.0140179154642547e-07,1.4872262760142405e-06,4.134146605707352,66.57702073574727,+,DR 1,6.656117598944852e-06,True
DR 1+,hallmark,gs_ind_0,UV Response Up,13/36,1.972636758902038e-05,0.00017359203478337936,5.445957446808511,58.999076046925126,+,DR 1,0.0007112605778576363,True
DR 1+,hallmark,gs_ind_0,Xenobiotic Metabolism,14/46,8.447779423923816e-05,0.0006174159436255168,4.230686739533924,39.67970336299856,+,DR 1,0.002420856193124437,True
DR 1+,hallmark,gs_ind_0,p53 Pathway,12/44,0.000845081237822188,0.004647946808022034,3.6084472556621097,25.53365350308321,+,DR 1,0.01582981440603513,True
DR 1-,lab,gs_ind_0,HALLMARK_IFNA,20/40,9.237152085802203e-11,4.618576042901101e-10,9.86426592797784,227.9158607993832,-,DR 1,9.334385265652753e-09,True
