# confounders | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
HALLMARK_IFNA,immune,0.14473715021568054,2.822851014128529e-279,-0.07368736405223422,2.710994109632185e-73,-0.009195548464066209,0.02401993160135515,-0.06013855227105128,2.2033175855459663e-49
HALLMARK_IFNG,immune,0.20265745716761768,0.0,-0.057304646329953295,5.393913321559544e-45,-0.034215551576342096,4.479766344876603e-17,-0.09101191415932235,5.826041437732956e-111
ISDS,immune,0.0929740310994992,9.869625760547293e-116,-0.08953319898484549,1.9629615030494314e-107,-0.027875114231973846,7.787022059857138e-12,-0.04988053733193624,1.6954027896979592e-34
KEGG_APM,immune,0.352685664417857,0.0,0.06711065721318277,4.414685493792942e-61,0.004134714641708183,0.3102288319352354,-0.08851334265361158,4.917538189567857e-105
IMMUNOGENIC_CONSENSUS,immune,0.20084942881874035,0.0,0.0010701074898983559,0.7928397703207944,-0.017278618837985607,2.2270625300466285e-05,-0.07843565835841788,8.014006940313967e-83
BENPORATH_ES1,stemness,0.5120105409654993,0.0,0.05402198485282562,3.562967968302019e-40,0.38840604502391796,0.0,0.32319031895683265,0.0
ESC_ASSOU,stemness,0.6583927453065018,0.0,0.09086344606359166,1.324929500104294e-110,0.3554101182924842,0.0,0.2317061784133239,0.0
ESC_WONG,stemness,0.52502070304846,0.0,0.008156173518392144,0.045315555838165364,0.3701031873641076,0.0,0.25472471422912946,0.0
LIM_STEM,stemness,-0.2029808774851603,0.0,-0.044801161398680796,3.7967884498183403e-28,-0.01653751239423142,4.930488921224057e-05,0.06405180197831942,8.61130335128561e-56
FMASC,stemness,0.05083151326594595,9.233215948828119e-36,0.19198809276536868,0.0,0.15970989057529003,0.0,0.27003287519993435,0.0
CytoTRACE2,stemness (independent),0.4966795232416509,0.0,0.0482232177577921,2.3734856052053196e-32,0.25871778586555166,0.0,0.1902593064490995,0.0
