# dim_target_effect_size | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,auroc_target_vs_rest,standardised_mean_difference,abs_auroc_from_half
DR 26,0.7984227682979992,0.8588789,0.2984227682979992
DR 7,0.6912648341102644,0.8029758,0.1912648341102644
DR 10,0.3093060535029033,-0.793848,0.1906939464970967
DR 18,0.31350386063116603,-0.82432956,0.18649613936883397
DR 4,0.31870126710714386,-0.49614885,0.18129873289285614
DR 19,0.662367545869738,0.6400821,0.162367545869738
DR 48,0.6558632781627242,0.4627586,0.15586327816272416
DR 24,0.6549538596170111,0.46550485,0.15495385961701114
DR 42,0.3462017118690582,-0.39658508,0.15379828813094182
DR 20,0.3494455609845912,-0.41785067,0.15055443901540883
DR 34,0.6471359012794724,0.4337374,0.1471359012794724
DR 54,0.36667013344149124,-0.40594587,0.13332986655850876
DR 3,0.6242599003775205,0.3772181,0.12425990037752055
DR 1,0.37689789448173694,-0.3664558,0.12310210551826306
DR 2,0.38467085951357083,-0.3559541,0.11532914048642917
DR 21,0.615312062623874,0.36948383,0.11531206262387395
DR 30,0.6124972939868225,0.33605605,0.11249729398682251
DR 23,0.39855163797539206,-0.37185407,0.10144836202460794
DR 12,0.6011041384712108,0.25172195,0.1011041384712108
DR 37,0.5994341015577174,0.21922402,0.09943410155771737
DR 63,0.5912747125202469,0.31577897,0.09127471252024688
DR 61,0.4094840010341937,-0.33046198,0.09051599896580631
DR 52,0.5886098502929302,0.25014994,0.08860985029293023
DR 45,0.5828347813522151,0.2343598,0.08283478135221511
DR 16,0.4175533838230038,-0.22154064,0.08244661617699622
DR 14,0.4211116144162767,-0.44669285,0.0788883855837233
DR 38,0.42281472264224607,-0.23248784,0.07718527735775393
DR 13,0.5768836120909469,0.27556416,0.07688361209094685
DR 56,0.42372648020273607,-0.1917466,0.07627351979726393
DR 36,0.5741638048355395,0.21120577,0.07416380483553953
DR 39,0.42676172934743334,-0.1268936,0.07323827065256666
DR 5,0.5720358795964564,0.0020948164,0.07203587959645641
DR 8,0.5665660084457984,0.15780863,0.06656600844579841
DR 51,0.44093501557137993,-0.13518625,0.05906498442862007
DR 11,0.5538475981407835,0.19045936,0.05384759814078355
DR 29,0.4492614587024773,-0.29722494,0.0507385412975227
DR 25,0.5475740157661465,0.1893402,0.047574015766146505
DR 31,0.5466478139166422,0.06835188,0.04664781391664219
DR 47,0.46248342921490204,-0.19466615,0.03751657078509796
DR 15,0.5370976253100112,0.14035457,0.03709762531001115
DR 59,0.4645792235476368,-0.0999631,0.03542077645236319
DR 50,0.46459876697614155,-0.03261396,0.03540123302385845
DR 64,0.4648497244972244,-0.108123615,0.03515027550277561
DR 49,0.46655610996218155,-0.044606943,0.03344389003781845
DR 28,0.5307843058671672,0.10363813,0.030784305867167183
DR 55,0.47179118068543535,-0.33379522,0.028208819314564648
DR 57,0.4745017387956566,-0.07957941,0.025498261204343398
DR 62,0.4747256754594654,-0.09540862,0.025274324540534576
DR 40,0.5236261002489864,0.097136825,0.02362610024898637
DR 22,0.4764349628737261,-0.0783058,0.02356503712627389
DR 53,0.4769464041645076,-0.069909334,0.02305359583549238
DR 27,0.4798562825535436,-0.07180099,0.020143717446456377
DR 17,0.4801311429728369,-0.12638707,0.019868857027163123
DR 35,0.4819138453406424,-0.083129816,0.01808615465935759
DR 33,0.48200877399353503,-0.059724208,0.017991226006464967
DR 44,0.5178692568590474,0.10565617,0.01786925685904739
DR 46,0.5154896867950991,0.08156419,0.0154896867950991
DR 32,0.4859671506670085,-0.04007156,0.014032849332991482
DR 43,0.4886392895867516,-0.013810607,0.011360710413248376
DR 41,0.5089661331257592,-0.36934713,0.008966133125759224
DR 58,0.5066550010632044,0.0050689057,0.00665500106320438
DR 9,0.5060863499147255,0.010572336,0.006086349914725453
DR 6,0.5058291193829302,-0.001995204,0.005829119382930181
DR 60,0.4960391032126577,0.030783594,0.003960896787342294
