# confounders | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
EMT_B_EPITHELIAL,epithelial,0.3247967532982479,0.0,0.13521890413331306,6.073106063423181e-171,-0.15828387970478755,2.923312999164345e-234,-0.23785697310427073,0.0
EMT_B_HYBRID,hybrid,0.14931629068131702,2.071482510815057e-208,0.10708984898625937,1.3395589052937511e-107,0.09919191042037423,1.630481450023537e-92,0.07487876154499555,2.0877880187400473e-53
EMT_B_MESENCHYMAL,mesenchymal,0.06192450296773088,4.7535339773656496e-37,0.08809631931285329,2.6732166126196997e-73,0.07539956225295229,3.9559408030226326e-54,0.07539279463223768,4.042684086150189e-54
EMT_A_EPITHELIAL,epithelial,0.34087176284432835,0.0,0.10909558972655685,1.2841118287078781e-111,-0.14707872697019012,3.3191646658319697e-202,-0.2241699296068762,0.0
EMT_A_HYBRID,hybrid,0.010915848714589938,0.0251143876094042,0.06260973240577443,7.749070764826006e-38,-0.0031929325749505215,0.5124123314377153,-0.001993528483062054,0.6825347626728857
EMT_A_MESENCHYMAL,mesenchymal,-0.05562114393630668,3.304632311676093e-30,0.02957948016568143,1.2786132009734197e-09,0.05066866639248418,2.422231049808488e-25,0.10541534528943655,2.651651019516579e-104
EMT_C_EPITHELIAL,epithelial,0.28083374661405586,0.0,0.10818589115135817,8.72048701185238e-110,-0.1475917151943092,1.279809966904563e-203,-0.23427411756064398,0.0
EMT_C_HYBRID,hybrid,0.06973749130468752,1.5212662617251376e-46,0.00420092783342452,0.3887449786883834,-0.00935272619072362,0.054995372057229985,-0.045729060774861253,6.173067256921359e-21
EMT_C_MESENCHYMAL,mesenchymal,0.1763097253779442,4.9750652931861566e-291,0.13362562323035768,5.969311249964378e-167,0.06219838587609257,2.307733605348034e-37,0.04195135190178832,7.253742833712602e-18
EMT_SCORE_B,emt_score,-0.17678547005244552,1.2905214970097218e-292,-0.04637272235515193,1.743940838201774e-21,0.12878117225445862,4.122855639746656e-155,0.12929239153593758,2.438507471083594e-156
EMT_SCORE_A,emt_score,-0.26721485544999923,0.0,-0.055997483658102816,1.3523007211763622e-30,0.10051704806714339,5.797379381894675e-95,0.13290028189181924,3.7784324515616064e-165
EMT_SCORE_C,emt_score,-0.10557884888464614,1.2704627872470126e-104,-0.012594311878230359,0.009765054689055145,0.1007019833357981,2.6230978698050906e-95,0.10006839063544387,3.945698990378929e-94
