# signature_concentration | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,primary,n_mapped,effective_n_genes,effective_n_fraction,top_gene,top_gene_share_of_variance,top_gene_share_of_mean_signal,top_gene_detection_rate,top_gene_spearman_with_score,share_top3_of_variance,median_detection_rate,n_genes_below_noise_floor,frac_genes_below_noise_floor,frac_cells_all_zero,gini_of_mean_signal,flags
MP2_CELL_CYCLE_G1_S,cell_cycle,True,49,27.182,0.5547,HMGB2,0.0548,0.0603,0.2736,0.3233,0.1475,0.0946,0,0.0,0.141,0.4371,undetectable_in_many_cells
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,True,46,33.9412,0.7379,STMN1,0.0426,0.0245,0.5226,0.5881,0.1186,0.5262,0,0.0,0.0004,0.3309,none
MP4_CHROMATIN,chromatin,True,45,36.3466,0.8077,GOLGA4,0.0467,0.0484,0.3332,0.3185,0.1329,0.1705,0,0.0,0.0949,0.2751,none
MP5_STRESS,stress,True,49,31.6465,0.6458,FOS,0.0639,0.0755,0.7562,0.7582,0.1705,0.3652,0,0.0,0.0138,0.3928,none
MP6_HYPOXIA,stress,True,49,20.4447,0.4172,S100A10,0.0817,0.1006,0.7573,0.5216,0.2232,0.1643,1,0.0204,0.0035,0.5619,none
MP7_STRESS_IN_VITRO,stress,True,44,27.8455,0.6329,XBP1,0.087,0.079,0.6008,0.5583,0.2098,0.2662,0,0.0,0.0085,0.4032,none
MP8_PROTEASOMAL_DEGRADATION,proteostasis,True,50,34.9863,0.6997,PRDX1,0.0585,0.076,0.7913,0.5821,0.1417,0.3706,0,0.0,0.003,0.3358,none
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,True,47,32.5341,0.6922,PPIB,0.06,0.0667,0.7351,0.52,0.1579,0.3889,0,0.0,0.0057,0.3573,none
MP10_PROTEIN_MATURATION,proteostasis,True,49,28.8562,0.5889,HLA-C,0.0564,0.0578,0.7368,0.533,0.1529,0.4051,0,0.0,0.0069,0.4094,none
MP11_TRANSLATION_INITIATION,proteostasis,True,45,30.6057,0.6801,ZFAS1,0.0539,0.066,0.5696,0.3976,0.1491,0.245,0,0.0,0.0152,0.3789,none
MP12_EMT_1,emt,True,48,14.374,0.2995,VIM,0.0665,0.0841,0.5799,0.4724,0.1798,0.1295,0,0.0,0.0087,0.5728,none
MP13_EMT_2,emt,True,50,20.1879,0.4038,LGALS1,0.0905,0.083,0.5529,0.571,0.2151,0.1354,0,0.0,0.0106,0.5721,none
MP14_EMT_3,emt,True,50,34.4095,0.6882,S100A6,0.0574,0.049,0.7773,0.6405,0.1518,0.5039,0,0.0,0.0001,0.3749,none
MP15_EMT_4,emt,True,49,13.5164,0.2758,CD74,0.1122,0.0849,0.6162,0.528,0.2432,0.1874,3,0.0612,0.0009,0.6041,none
MP16_MES_GLIOMA,emt,True,49,17.2857,0.3528,ANXA1,0.1097,0.0589,0.3688,0.5824,0.3004,0.1332,8,0.1633,0.0204,0.6264,none
MP17_INTERFERON_MHC_II_1,immune,True,48,24.4353,0.5091,HLA-B,0.0503,0.0623,0.6942,0.7546,0.142,0.2841,0,0.0,0.0088,0.4698,none
MP18_INTERFERON_MHC_II_2,immune,True,50,25.3607,0.5072,CD74,0.0768,0.0627,0.6162,0.679,0.2012,0.249,1,0.02,0.0022,0.5132,none
MP19_EPITHELIAL_SENESCENCE,senescence,True,50,22.9997,0.46,KRT7,0.0663,0.0782,0.5933,0.5362,0.1959,0.1438,9,0.18,0.0164,0.5658,none
MP20_MYC,metabolic,True,49,32.6828,0.667,LDHA,0.0481,0.0598,0.6889,0.4162,0.1434,0.3398,0,0.0,0.0042,0.3892,none
