# signature_gene_contribution | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP10_PROTEIN_MATURATION,proteostasis,HLA-C,0.73678,1.684796,0.05776,0.056436,0.533034,1
MP10_PROTEIN_MATURATION,proteostasis,HLA-A,0.5929,1.200342,0.041151,0.051406,0.422169,2
MP10_PROTEIN_MATURATION,proteostasis,MALAT1,0.823797,2.870301,0.098402,0.045049,0.356609,3
MP10_PROTEIN_MATURATION,proteostasis,PPIB,0.735062,1.426937,0.04892,0.043146,0.4428,4
MP10_PROTEIN_MATURATION,proteostasis,ITM2B,0.67227,1.198153,0.041076,0.03804,0.47781,5
MP10_PROTEIN_MATURATION,proteostasis,TMEM59,0.631522,0.975496,0.033443,0.034356,0.515373,6
MP10_PROTEIN_MATURATION,proteostasis,HSPA5,0.528486,0.767445,0.02631,0.033627,0.487833,7
MP10_PROTEIN_MATURATION,proteostasis,HSP90B1,0.612981,0.937703,0.032147,0.033145,0.480176,8
MP10_PROTEIN_MATURATION,proteostasis,PDIA6,0.564749,0.837344,0.028707,0.032458,0.445165,9
MP10_PROTEIN_MATURATION,proteostasis,PDIA3,0.534348,0.736162,0.025238,0.0319,0.489925,10
MP10_PROTEIN_MATURATION,proteostasis,CLU,0.553297,1.001873,0.034347,0.031627,0.391095,11
MP10_PROTEIN_MATURATION,proteostasis,TIMP1,0.490764,0.792671,0.027175,0.030784,0.427017,12
MP10_PROTEIN_MATURATION,proteostasis,LAPTM4A,0.646749,1.028589,0.035263,0.029923,0.430233,13
MP10_PROTEIN_MATURATION,proteostasis,LGALS3BP,0.344185,0.431074,0.014778,0.027478,0.465486,14
MP10_PROTEIN_MATURATION,proteostasis,RPN2,0.435006,0.493473,0.016918,0.02413,0.476406,15
MP10_PROTEIN_MATURATION,proteostasis,SPP1,0.185596,0.31149,0.010679,0.022657,0.321499,16
MP10_PROTEIN_MATURATION,proteostasis,SERPINA1,0.241244,0.341967,0.011724,0.022488,0.411764,17
MP10_PROTEIN_MATURATION,proteostasis,PDIA4,0.388873,0.442306,0.015164,0.022327,0.430467,18
MP10_PROTEIN_MATURATION,proteostasis,PRDX4,0.471405,0.604339,0.020718,0.021618,0.345237,19
MP10_PROTEIN_MATURATION,proteostasis,EPCAM,0.491609,0.629203,0.021571,0.020441,0.363781,20
MP10_PROTEIN_MATURATION,proteostasis,DDOST,0.465393,0.535012,0.018342,0.0197,0.393046,21
MP10_PROTEIN_MATURATION,proteostasis,PSAP,0.511513,0.660482,0.022643,0.019229,0.370445,22
MP10_PROTEIN_MATURATION,proteostasis,GRN,0.412744,0.448741,0.015384,0.018204,0.402672,23
MP10_PROTEIN_MATURATION,proteostasis,APP,0.520865,0.720369,0.024696,0.01792,0.312791,24
MP10_PROTEIN_MATURATION,proteostasis,NEAT1,0.492754,0.79609,0.027292,0.017824,0.294659,25
MP10_PROTEIN_MATURATION,proteostasis,LAMP1,0.444849,0.487371,0.016708,0.01734,0.397116,26
MP10_PROTEIN_MATURATION,proteostasis,AZGP1,0.533025,1.216348,0.0417,0.015944,0.25411,27
MP10_PROTEIN_MATURATION,proteostasis,SLC3A2,0.405096,0.442899,0.015184,0.015707,0.352852,28
MP10_PROTEIN_MATURATION,proteostasis,LMAN2,0.41577,0.425923,0.014602,0.015442,0.374949,29
MP10_PROTEIN_MATURATION,proteostasis,ATP6AP2,0.381375,0.385431,0.013214,0.01456,0.379709,30
MP10_PROTEIN_MATURATION,proteostasis,LAMP2,0.324663,0.307359,0.010537,0.013927,0.373291,31
MP10_PROTEIN_MATURATION,proteostasis,LRPAP1,0.310921,0.273294,0.009369,0.013733,0.394311,32
MP10_PROTEIN_MATURATION,proteostasis,EPHX1,0.281665,0.270289,0.009266,0.013503,0.375199,33
MP10_PROTEIN_MATURATION,proteostasis,ATP6AP1,0.319891,0.288048,0.009875,0.013502,0.392306,34
MP10_PROTEIN_MATURATION,proteostasis,MAGED2,0.37749,0.430612,0.014763,0.013297,0.354434,35
MP10_PROTEIN_MATURATION,proteostasis,TM9SF2,0.359617,0.356734,0.01223,0.012967,0.359905,36
MP10_PROTEIN_MATURATION,proteostasis,APLP2,0.40361,0.43043,0.014756,0.012742,0.336096,37
MP10_PROTEIN_MATURATION,proteostasis,PIGT,0.315693,0.287833,0.009868,0.011213,0.339209,38
MP10_PROTEIN_MATURATION,proteostasis,CTSA,0.225049,0.182069,0.006242,0.010229,0.349202,39
MP10_PROTEIN_MATURATION,proteostasis,APMAP,0.282538,0.244381,0.008378,0.010148,0.346896,40
MP10_PROTEIN_MATURATION,proteostasis,GGH,0.237918,0.242413,0.008311,0.008978,0.241022,41
MP10_PROTEIN_MATURATION,proteostasis,CTSL,0.187259,0.157245,0.005391,0.00799,0.306607,42
MP10_PROTEIN_MATURATION,proteostasis,OS9,0.271482,0.233509,0.008005,0.007876,0.300892,43
MP10_PROTEIN_MATURATION,proteostasis,HEXB,0.237604,0.18812,0.006449,0.00756,0.296572,44
MP10_PROTEIN_MATURATION,proteostasis,SERPINE2,0.122095,0.116505,0.003994,0.006451,0.225346,45
MP10_PROTEIN_MATURATION,proteostasis,SIL1,0.16985,0.12068,0.004137,0.005242,0.263905,46
MP10_PROTEIN_MATURATION,proteostasis,GDF15,0.104631,0.134293,0.004604,0.003001,0.126761,47
MP10_PROTEIN_MATURATION,proteostasis,TSPAN1,0.08061,0.065549,0.002247,0.00216,0.152865,48
MP10_PROTEIN_MATURATION,proteostasis,CFI,0.014819,0.009342,0.00032,0.000576,0.098954,49
MP11_TRANSLATION_INITIATION,proteostasis,ZFAS1,0.569561,0.821071,0.066013,0.053929,0.397642,1
MP11_TRANSLATION_INITIATION,proteostasis,EIF3E,0.507,0.644502,0.051817,0.048418,0.381619,2
MP11_TRANSLATION_INITIATION,proteostasis,SNHG8,0.441114,0.576501,0.04635,0.04673,0.421791,3
MP11_TRANSLATION_INITIATION,proteostasis,IMPDH2,0.397121,0.447343,0.035966,0.046231,0.435862,4
MP11_TRANSLATION_INITIATION,proteostasis,RPL22L1,0.487342,0.622141,0.050019,0.046122,0.330638,5
MP11_TRANSLATION_INITIATION,proteostasis,EIF3F,0.507805,0.619725,0.049825,0.046036,0.373292,6
MP11_TRANSLATION_INITIATION,proteostasis,RSL1D1,0.439,0.483567,0.038878,0.041487,0.382128,7
MP11_TRANSLATION_INITIATION,proteostasis,EIF4B,0.411926,0.461288,0.037087,0.036683,0.386483,8
MP11_TRANSLATION_INITIATION,proteostasis,TKT,0.435251,0.495434,0.039832,0.035018,0.277775,9
MP11_TRANSLATION_INITIATION,proteostasis,SNHG7,0.307404,0.325289,0.026153,0.034043,0.311648,10
MP11_TRANSLATION_INITIATION,proteostasis,EIF3D,0.387837,0.394475,0.031715,0.033987,0.328687,11
MP11_TRANSLATION_INITIATION,proteostasis,AHCY,0.376849,0.379644,0.030523,0.032658,0.334479,12
MP11_TRANSLATION_INITIATION,proteostasis,APEX1,0.414339,0.42136,0.033877,0.032202,0.295383,13
MP11_TRANSLATION_INITIATION,proteostasis,MYC,0.301569,0.342121,0.027506,0.031984,0.32837,14
