# signature_concentration | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,primary,n_mapped,effective_n_genes,effective_n_fraction,top_gene,top_gene_share_of_variance,top_gene_share_of_mean_signal,top_gene_detection_rate,top_gene_spearman_with_score,share_top3_of_variance,median_detection_rate,n_genes_below_noise_floor,frac_genes_below_noise_floor,frac_cells_all_zero,gini_of_mean_signal,flags
MP2_CELL_CYCLE_G1_S,cell_cycle,True,49,30.4413,0.6213,HMGB2,0.0535,0.0602,0.3257,0.4359,0.1446,0.1331,0,0.0,0.1067,0.3984,undetectable_in_many_cells
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,True,46,34.8893,0.7585,STMN1,0.043,0.0292,0.644,0.6136,0.115,0.598,0,0.0,0.0003,0.3181,none
MP4_CHROMATIN,chromatin,True,45,35.9641,0.7992,GOLGA4,0.0452,0.0491,0.3371,0.3226,0.1327,0.1758,0,0.0,0.0947,0.2794,none
MP5_STRESS,stress,True,49,31.4051,0.6409,FOS,0.0672,0.0725,0.674,0.6252,0.1679,0.3247,0,0.0,0.0151,0.4024,none
MP6_HYPOXIA,stress,True,49,19.3929,0.3958,S100A10,0.0745,0.1113,0.8286,0.4616,0.2044,0.2008,1,0.0204,0.0017,0.585,none
MP7_STRESS_IN_VITRO,stress,True,44,29.2101,0.6639,NUPR1,0.0506,0.0552,0.5092,0.368,0.1455,0.2829,0,0.0,0.0085,0.3872,none
MP8_PROTEASOMAL_DEGRADATION,proteostasis,True,50,35.363,0.7073,PRDX1,0.0559,0.0749,0.8356,0.6198,0.1427,0.4121,0,0.0,0.0011,0.3315,none
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,True,47,31.7033,0.6745,PPIB,0.0643,0.0665,0.7518,0.6239,0.1634,0.396,0,0.0,0.0038,0.3736,none
MP10_PROTEIN_MATURATION,proteostasis,True,49,31.0866,0.6344,HLA-A,0.061,0.0501,0.6471,0.6135,0.1685,0.4428,0,0.0,0.0078,0.39,none
MP11_TRANSLATION_INITIATION,proteostasis,True,45,30.4841,0.6774,EIF3E,0.0545,0.054,0.5041,0.3667,0.1515,0.2656,0,0.0,0.0148,0.3842,none
