# factor_first_hallmark_significant | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_32 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dimension,collection,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,direction,dim,fdr_bh_global,significant
DR 1+,hallmark,gs_ind_0,Glycolysis,12/46,0.0013008231383289865,0.01832425641773624,3.395417675777496,22.561728871625487,+,DR 1,0.018746444672607297,True
DR 1+,hallmark,gs_ind_0,Oxidative Phosphorylation,8/11,1.1101597910414389e-06,5.106735038790619e-05,22.67717996289425,310.92696407503706,+,DR 1,4.600374385898336e-05,True
DR 1+,hallmark,gs_ind_0,Unfolded Protein Response,7/19,0.0015934136015422816,0.01832425641773624,5.545736434108528,35.72495001353711,+,DR 1,0.02142455549271839,True
DR 1+,hallmark,gs_ind_0,mTORC1 Signaling,13/49,0.0006860119522520405,0.01577827490179693,3.4806575342465753,25.35525184951136,+,DR 1,0.011387403011445975,True
DR 1-,hallmark,gs_ind_0,Adipogenesis,9/29,0.0014111478308291778,0.006854146606884578,4.308667133668726,28.27929836550699,-,DR 1,0.019728668702854526,True
DR 1-,hallmark,gs_ind_0,Angiogenesis,8/18,0.00015776008762408633,0.001072768595843787,7.529622758194186,65.91759385206704,-,DR 1,0.003577551593365107,True
DR 1-,hallmark,gs_ind_0,Apical Junction,10/37,0.0024789433908547903,0.010535509411132859,3.5546170365068,21.32742802180424,-,DR 1,0.030706911680265788,True
DR 1-,hallmark,gs_ind_0,Coagulation,23/48,9.929381068033405e-12,1.687994781565679e-10,9.218282242474455,233.55000149186054,-,DR 1,1.0213077669977216e-09,True
DR 1-,hallmark,gs_ind_0,Epithelial Mesenchymal Transition,51/112,3.519174808635929e-24,1.1965194349362159e-22,9.743508170867662,526.186619522161,-,DR 1,1.0668656261969973e-21,True
DR 1-,hallmark,gs_ind_0,KRAS Signaling Up,18/78,0.00043243783643727565,0.002450481073144562,2.916268538435413,22.589625990451445,-,DR 1,0.00797102275312346,True
DR 1-,hallmark,gs_ind_0,Myogenesis,21/51,2.8229884408516e-09,3.199386899631813e-08,6.952965888853372,136.87239990249864,-,DR 1,2.058280179658888e-07,True
DR 1-,hallmark,gs_ind_0,UV Response Dn,12/31,1.841555527939586e-05,0.00015653221987486481,6.05828742433517,66.04935698143535,-,DR 1,0.0005425985660471924,True
DR 2+,hallmark,gs_ind_0,Allograft Rejection,38/73,1.42663817794724e-20,5.135897440610065e-19,11.782751895991332,538.429121138854,+,DR 2,3.5727982195548275e-18,True
DR 2+,hallmark,gs_ind_0,Complement,18/66,4.1842167756508395e-05,0.0005021060130781008,3.6629007202372548,36.92792161821022,+,DR 2,0.0011157911401735573,True
DR 2+,hallmark,gs_ind_0,IL-2/STAT5 Signaling,18/70,9.822526375860494e-05,0.0008840273738274445,3.376099151989563,31.15547723321834,+,DR 2,0.00241785264636566,True
DR 2+,hallmark,gs_ind_0,IL-6/JAK/STAT3 Signaling,9/31,0.0023774452607899232,0.017117605877687448,3.9212648680011606,23.691218837052602,+,DR 2,0.029705172889696225,True
DR 2+,hallmark,gs_ind_0,Inflammatory Response,24/73,3.909472064017905e-08,7.037049715232229e-07,4.911637622685781,83.77917033528014,+,DR 2,2.2077018714454052e-06,True
DR 2+,hallmark,gs_ind_0,KRAS Signaling Up,16/78,0.003396058103941713,0.02037634862365028,2.487609756097561,14.142409482895015,+,DR 2,0.03881209261647672,True
DR 2-,hallmark,gs_ind_0,Hypoxia,15/70,0.002906951568010528,0.04457325737616143,2.6279352128408733,15.348850636602599,-,DR 2,0.03466675161851065,True
DR 2-,hallmark,gs_ind_0,Oxidative Phosphorylation,6/11,0.00027959877808904316,0.006430771896047993,10.909792007478384,89.26560832643746,-,DR 2,0.005591975561780863,True
DR 2-,hallmark,gs_ind_0,TNF-alpha Signaling via NF-kB,22/97,0.00012768028874045778,0.0058732932820610585,2.880794701986755,25.829151031984807,-,DR 2,0.0030140920620698227,True
DR 3+,hallmark,gs_ind_0,Apoptosis,15/59,0.00043853282188194916,0.009209189259520932,3.2981919500893424,25.50187048622671,+,DR 3,0.00797102275312346,True
DR 3+,hallmark,gs_ind_0,Estrogen Response Late,15/65,0.0013181093910427006,0.013840148605948357,2.896399882575859,19.207640477550406,+,DR 3,0.018746444672607297,True
DR 3+,hallmark,gs_ind_0,Reactive Oxygen Species Pathway,7/9,2.7409457721732702e-06,0.00011511972243127735,27.88372093023256,357.11260051700145,+,DR 3,0.00010185708159818087,True
DR 3+,hallmark,gs_ind_0,p53 Pathway,12/45,0.0010525899827390427,0.013840148605948357,3.4987529197513756,23.989204648608986,+,DR 3,0.015997145911812363,True
DR 4+,hallmark,gs_ind_0,Apoptosis,18/59,7.511833675533866e-06,7.061123655001835e-05,4.297837927050669,50.71032275147262,+,DR 4,0.0002501049824917634,True
