# dim_signature_spearman | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_32 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 10,0.0292,0.1355,-0.317,-0.3174,0.0604,-0.0672,0.3138,-0.1446,-0.2161,0.1388,-0.0092,-0.0128,0.1593,-0.1241,-0.0472,0.1402,0.0223,0.0028,0.2399,0.1053,0.0202,-0.1461,-0.1827,-0.0868,-0.0143,-0.1095,-0.0437,-0.0759,-0.0304,-0.3191,0.0187,-0.0244,-0.0109,0.0731,-0.0162,0.1259,-0.1071,-0.1022,-0.0797,-0.3916
DR 7,-0.4823,-0.449,0.1327,0.3916,0.1348,0.2404,-0.2454,0.1468,0.2045,-0.1046,0.0971,0.1143,0.0973,0.3183,0.2155,0.1334,0.12,0.2262,-0.303,-0.0753,-0.0216,0.1528,0.2931,0.2603,-0.0021,0.1623,-0.1214,0.0926,0.171,0.3255,0.126,0.0789,0.2192,0.2245,0.1259,0.079,0.2672,0.2661,0.1862,0.2982
DR 8,-0.1029,-0.023,0.2899,0.1664,-0.0275,0.1179,-0.1525,0.1728,0.2738,0.0327,-0.0097,0.0324,-0.0312,0.0801,0.0624,-0.0393,0.0337,0.0661,-0.0864,0.0348,-0.0486,0.0879,0.0976,0.1054,-0.0456,0.0528,0.0664,0.0488,0.0252,0.175,-0.0598,0.0468,0.0217,-0.0042,0.07,0.0204,0.1512,0.1404,0.0282,0.4104
DR 18,0.1278,0.1476,-0.0236,-0.1722,-0.0533,-0.201,-0.0216,-0.1128,-0.1283,0.0189,0.0832,-0.1418,-0.3484,0.0656,-0.2691,0.0558,0.0474,-0.4361,0.0561,0.1629,0.0376,0.0224,-0.4019,-0.2704,0.0686,0.1268,-0.0596,-0.069,-0.0219,-0.0475,-0.1091,-0.037,-0.3559,-0.0386,-0.0534,-0.1301,-0.0872,-0.1297,-0.0077,-0.0699
DR 19,-0.0836,-0.1965,0.1004,0.3601,0.1549,0.3787,0.1254,0.3526,0.3083,0.0163,-0.0082,0.0994,0.0606,0.0393,0.2042,-0.0384,-0.0565,0.1365,-0.0467,-0.2937,-0.0404,0.0585,0.3008,0.1276,-0.0547,-0.1159,-0.0212,0.1008,-0.0947,0.1254,-0.068,-0.0502,0.1222,-0.1005,0.0043,0.0011,0.1072,0.2063,0.0482,0.2376
DR 3,-0.0905,0.1775,-0.2212,-0.1881,0.186,-0.0234,0.0811,-0.0298,-0.1611,0.1534,-0.0041,0.274,0.5588,-0.1063,0.1344,-0.0766,0.0848,0.3037,0.1672,0.3773,-0.0287,0.1918,0.0338,0.066,0.0246,-0.0278,0.1414,-0.0705,0.107,-0.2362,0.1008,0.1004,0.2966,0.1608,0.2649,0.2332,-0.0252,-0.0164,-0.0628,-0.2987
DR 11,0.1017,0.2961,-0.1999,-0.1449,-0.0986,-0.0525,0.1122,-0.201,-0.325,0.1868,-0.2579,-0.3073,-0.0613,-0.2011,-0.2615,-0.2846,-0.2035,-0.1313,0.2263,0.2849,0.0345,-0.138,-0.1736,-0.1667,0.0332,-0.0582,0.1202,-0.0396,-0.0579,-0.1092,-0.0658,-0.1317,-0.2356,-0.0521,-0.0333,-0.0708,-0.1448,-0.1409,-0.058,-0.2896
DR 30,0.0857,0.0834,0.0287,-0.0635,-0.193,-0.0341,-0.0456,0.0404,0.0205,0.0017,-0.1385,-0.2997,-0.3222,0.0089,-0.2306,-0.0042,-0.1085,-0.2849,-0.002,0.0183,0.0052,-0.189,-0.0962,-0.0114,-0.0677,-0.0494,-0.0502,-0.03,-0.1494,0.0142,-0.0028,-0.0671,-0.3538,-0.1531,-0.0917,-0.177,0.0258,-0.0056,0.0281,0.0255
DR 5,-0.7538,-0.4632,-0.0138,0.204,0.1378,0.2184,-0.1078,0.1535,0.1707,-0.1261,0.0737,0.102,0.1607,0.2518,0.1507,0.1409,0.1395,0.2016,-0.3127,-0.0476,0.0067,0.138,0.1604,0.226,0.0486,0.1116,-0.0167,0.0895,0.1294,0.2295,0.1377,0.0862,0.1717,0.1921,0.0709,0.1169,0.1695,0.2282,0.1265,0.1579
DR 28,0.4014,0.2607,0.2024,-0.0559,-0.1832,-0.1325,-0.0728,-0.04,-0.0439,0.0085,-0.0388,-0.1079,-0.283,-0.0862,-0.1551,-0.1079,-0.1354,-0.2275,0.0887,0.0217,-0.0118,-0.0335,-0.0789,-0.1602,-0.0706,-0.0893,0.0235,-0.0562,-0.1556,0.0028,-0.1482,-0.0634,-0.1938,-0.2161,-0.1101,-0.173,-0.079,-0.1237,-0.0605,0.1197
