# signature_gene_contribution | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_32 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP10_PROTEIN_MATURATION,proteostasis,HLA-A,0.647104,1.542958,0.05011,0.06098,0.613479,1
MP10_PROTEIN_MATURATION,proteostasis,HLA-C,0.727896,1.82069,0.05913,0.059489,0.650076,2
MP10_PROTEIN_MATURATION,proteostasis,PPIB,0.751824,1.621206,0.052651,0.048072,0.607757,3
MP10_PROTEIN_MATURATION,proteostasis,MALAT1,0.770695,2.469206,0.080191,0.041233,0.358549,4
MP10_PROTEIN_MATURATION,proteostasis,ITM2B,0.626547,1.113945,0.036177,0.039668,0.579824,5
MP10_PROTEIN_MATURATION,proteostasis,HSPA5,0.559295,0.884844,0.028737,0.035202,0.576729,6
MP10_PROTEIN_MATURATION,proteostasis,PDIA6,0.647519,1.09759,0.035646,0.034136,0.530548,7
MP10_PROTEIN_MATURATION,proteostasis,TMEM59,0.605659,0.92975,0.030195,0.03399,0.584578,8
MP10_PROTEIN_MATURATION,proteostasis,LGALS3BP,0.443137,0.636178,0.020661,0.033084,0.612673,9
MP10_PROTEIN_MATURATION,proteostasis,TIMP1,0.505112,0.884906,0.028739,0.032925,0.501248,10
MP10_PROTEIN_MATURATION,proteostasis,HSP90B1,0.618092,0.98465,0.031978,0.032889,0.556905,11
MP10_PROTEIN_MATURATION,proteostasis,PDIA3,0.565346,0.843866,0.027406,0.032661,0.575845,12
MP10_PROTEIN_MATURATION,proteostasis,CLU,0.51854,0.954561,0.031001,0.030157,0.433662,13
MP10_PROTEIN_MATURATION,proteostasis,LAPTM4A,0.627874,1.006874,0.0327,0.029321,0.488862,14
MP10_PROTEIN_MATURATION,proteostasis,SPP1,0.287633,0.50724,0.016473,0.029097,0.453245,15
MP10_PROTEIN_MATURATION,proteostasis,RPN2,0.487815,0.595515,0.01934,0.025118,0.564846,16
MP10_PROTEIN_MATURATION,proteostasis,PDIA4,0.472287,0.595254,0.019332,0.02433,0.524198,17
MP10_PROTEIN_MATURATION,proteostasis,PRDX4,0.57894,0.824934,0.026791,0.022961,0.422337,18
MP10_PROTEIN_MATURATION,proteostasis,SERPINA1,0.249171,0.364814,0.011848,0.022893,0.497688,19
MP10_PROTEIN_MATURATION,proteostasis,DDOST,0.504366,0.607649,0.019734,0.019493,0.45647,20
MP10_PROTEIN_MATURATION,proteostasis,EPCAM,0.54606,0.738161,0.023973,0.018973,0.38651,21
MP10_PROTEIN_MATURATION,proteostasis,GRN,0.448994,0.510383,0.016575,0.017254,0.445761,22
MP10_PROTEIN_MATURATION,proteostasis,PSAP,0.522989,0.700695,0.022756,0.015637,0.36212,23
MP10_PROTEIN_MATURATION,proteostasis,LAMP1,0.435262,0.463414,0.01505,0.015438,0.437099,24
MP10_PROTEIN_MATURATION,proteostasis,SLC3A2,0.451149,0.524042,0.017019,0.015207,0.386268,25
MP10_PROTEIN_MATURATION,proteostasis,NEAT1,0.484693,0.812704,0.026394,0.014884,0.313463,26
MP10_PROTEIN_MATURATION,proteostasis,LMAN2,0.442833,0.462335,0.015015,0.014883,0.422469,27
MP10_PROTEIN_MATURATION,proteostasis,LAMP2,0.384229,0.383742,0.012463,0.014764,0.447487,28
MP10_PROTEIN_MATURATION,proteostasis,LRPAP1,0.3448,0.315369,0.010242,0.014504,0.475217,29
MP10_PROTEIN_MATURATION,proteostasis,APP,0.482952,0.637844,0.020715,0.014477,0.338004,30
MP10_PROTEIN_MATURATION,proteostasis,EPHX1,0.329658,0.331548,0.010768,0.014019,0.439149,31
