# dim_geneset_signed_significance | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_tum_32 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP16_MES_GLIOMA,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP24_CILIA,MP25_ASTROCYTES,MP26_NPC_GLIOMA,MP27_OLIGO_PROGENITOR,MP28_OLIGO_NORMAL,MP29_NPC_OPC,MP30_PDAC_CLASSICAL,MP31_ALVEOLAR,MP40_PDAC_RELATED,MP32_SKIN_PIGMENTATION,MP33_RBCS,MP34_PLATELET_ACTIVATION,MP35_HEMATO_RELATED_1,MP36_IG,MP37_HEMATO_RELATED_2,MP41_UNASSIGNED
DR 10,-0.0,0.408,-1.3878,-8.2877,-0.1908,0.6812,3.992,0.075,0.0,1.493,-0.0,0.4328,3.8158,-1.7473,0.3436,5.7418,0.2107,0.8494,2.0985,0.4288,-0.0,-0.1296,-3.5753,-0.0372,-0.3093,0.2105,0.0571,0.1741,0.1908,-0.8978,-0.0,0.1297,0.5814,0.0083,-0.1908,0.8111,0.0571,-0.0,1.5432,-1.2809
DR 7,-10.1727,-2.2524,0.075,15.8439,0.1908,0.3436,-3.992,0.0,0.0,0.273,-0.0,0.7109,-0.1908,1.2963,2.2774,0.0,-0.0,0.1296,-0.4288,-0.0372,0.0,0.5575,9.1772,0.5606,-0.0571,-0.0571,-0.6812,-0.1741,-0.0037,0.3436,0.2105,-0.0,0.5814,0.0083,0.1908,-0.1629,0.2382,-0.0,0.0857,-0.0
DR 8,-0.7983,-0.408,1.3878,4.2854,-0.6812,-1.6691,-0.5606,0.075,1.7049,-0.7643,-0.0,-0.0,0.1908,0.3377,0.1039,-0.0213,-0.0,-0.0075,-0.4288,-2.0985,0.075,-0.0075,-0.0,-0.0,0.0,-0.0571,-0.3093,-0.1741,-0.1908,0.8978,-0.0,-0.0,0.0111,-0.0,-0.0037,-0.4288,0.5116,0.0075,-0.3093,3.1965
DR 18,-0.0,0.408,0.0,-3.613,0.0396,-1.1084,0.1741,0.075,-0.0372,-0.0,0.2403,-4.3241,-9.2743,-0.5814,-4.8735,1.9507,2.2774,-14.1426,-0.4288,1.1065,0.7643,-1.6691,-7.0288,-2.5246,0.0571,2.0343,0.3093,-0.5606,0.8887,-0.3436,-1.2401,-0.3822,-13.2966,-0.9819,0.1908,-1.3159,-0.8647,-0.0075,-0.3093,0.0
DR 19,-0.0,-0.408,0.0,12.3808,2.4635,4.8735,0.5606,1.3878,0.0372,-0.7643,-0.0,-0.0853,-1.4471,-0.0111,-0.3436,-0.7879,-0.6777,0.1296,-0.4288,-3.5194,0.075,0.8494,3.5753,-0.0,-0.0571,-2.0343,-0.3093,0.1741,0.4835,0.0075,-0.2105,-0.1297,0.0111,-0.5526,0.1908,-0.0,-0.0,0.0075,0.0857,0.0
DR 3,0.0,0.0,-0.5606,-0.7879,0.3953,0.1039,0.1741,0.5606,0.0372,0.0,-0.0,7.5946,15.5698,0.1504,2.2774,0.3093,1.3752,11.6933,0.0372,2.0985,-0.0,0.8494,1.7049,1.5801,0.3093,-0.0,0.6812,0.0,0.8887,-0.0075,0.8071,0.1297,10.8626,0.5526,-0.0,0.4288,-0.0,0.0,0.0857,-2.0985
DR 11,0.2791,1.493,-0.5606,-0.0,-0.6812,0.3436,0.5606,0.0,-0.6059,0.7643,-1.7271,-6.6955,-0.1908,-0.1504,-1.6691,-1.5159,-1.3752,-0.8494,1.1065,2.0985,0.075,-0.3093,-0.5098,-0.1629,-0.0571,1.0886,0.3093,0.1741,0.8887,0.0075,0.0372,-0.3822,-5.005,0.2185,0.1908,0.1629,-0.0,0.0,0.3093,-0.2115
DR 30,0.0,0.0993,0.075,-0.5254,-0.3953,-0.0,0.0,0.075,0.6059,0.7643,-0.0,-1.4453,-7.182,0.1504,1.1084,0.1399,0.6777,-9.3945,0.0372,0.4288,-0.3436,-1.6691,0.2686,0.1629,-0.3093,0.2105,-0.6812,-0.5606,-2.0817,-0.0075,-1.2401,-1.2106,-7.6382,-1.5514,0.1908,0.4288,0.2382,0.0,0.0857,-0.0
DR 5,-34.5132,-7.1596,-0.075,3.613,0.6812,1.6691,-1.1084,1.3878,0.2686,0.273,-0.0,-0.0,1.4471,0.3377,0.1039,0.3093,0.2107,0.5575,-0.0372,0.0372,-0.0,0.3093,0.5098,0.0372,0.0,-0.0,0.3093,0.1741,0.1908,0.3436,-0.0,-0.0,0.0111,0.2185,-0.0,0.4288,0.0571,0.1629,0.6111,-0.0
DR 28,9.132,1.493,1.3878,-0.1399,-0.0396,-0.6812,-0.5606,-0.075,-0.0,-0.273,-0.0,-1.8858,-6.2868,-0.0,-1.1084,-0.3093,-1.8013,-0.8494,0.0372,-0.0372,0.0,-0.8494,-0.0853,-0.0372,0.0571,-0.0571,-1.2059,-0.1741,-0.1908,0.0075,-0.2105,0.0,-1.7473,-0.9819,-0.0037,-0.8111,-0.0,-0.0,-0.6111,0.6465
