# dim_signature_spearman | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP1_CELL_CYCLE_G2_M,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2
DR 22,0.0964,0.0874,-0.0063,0.048,-0.0039,0.167,-0.0416,0.3157,0.3203,0.3682,0.2979,0.2305,0.0648,0.1596,0.1991,0.2314,0.0282,0.112,-0.1632,0.1497,0.0241,0.0382
DR 30,0.1463,0.1424,0.0445,0.0324,0.0079,-0.0723,-0.0307,-0.0408,-0.1984,-0.3695,-0.3025,-0.029,-0.0296,-0.2078,-0.1472,-0.2821,-0.1116,0.0856,-0.08,-0.0957,0.0324,-0.2551
DR 64,0.2167,0.2124,0.0444,0.0537,0.0006,-0.2069,-0.0862,-0.0384,-0.03,0.036,0.0086,-0.0396,0.0567,0.0085,0.1501,0.1199,0.1114,-0.0617,-0.0521,-0.0652,-0.0074,0.1614
DR 41,-0.0818,-0.0683,0.0876,0.0263,0.0876,0.1723,0.0377,0.0689,0.1451,0.1996,0.0217,0.1028,0.1419,0.1164,0.083,0.1641,0.1853,0.0721,0.1322,0.125,0.1162,0.144
DR 37,-0.01,-0.041,0.2145,-0.003,-0.0682,0.1808,0.0128,0.1789,0.1642,0.1513,-0.0143,0.0787,0.1843,0.0042,-0.031,0.0808,0.1282,0.1797,0.1845,0.0809,-0.0336,0.0464
DR 2,0.1137,0.0859,-0.1795,-0.0341,0.0187,-0.0743,-0.0953,-0.1435,-0.1516,-0.1456,0.3856,0.0936,-0.1232,0.1424,0.1179,0.046,-0.1579,-0.1694,-0.1988,0.0213,-0.0024,-0.093
DR 7,0.5703,0.7325,0.4115,-0.0216,-0.2542,-0.0909,-0.2516,0.1427,-0.12,-0.2332,-0.0541,-0.0889,-0.1336,-0.263,-0.1514,-0.1747,-0.2154,0.3119,0.0684,-0.1119,-0.1924,-0.2486
DR 26,0.1284,0.1222,0.0806,-0.0019,-0.1326,0.0456,-0.0536,-0.0322,-0.1521,-0.2791,-0.045,-0.0007,-0.0038,-0.3557,-0.5777,-0.4493,-0.1345,0.0745,0.1116,-0.023,-0.0854,-0.3152
DR 11,-0.0418,-0.0417,-0.0438,-0.0114,0.0675,-0.053,0.1296,-0.0805,-0.0709,-0.063,-0.0761,-0.0701,-0.1741,0.0489,-0.0881,-0.1305,-0.1226,-0.0303,-0.0067,-0.0906,-0.0065,-0.1314
DR 39,0.008,0.0092,-0.1625,-0.0238,-0.0436,-0.1272,-0.0358,-0.0966,-0.0798,-0.1746,-0.0522,-0.0372,-0.0275,-0.1357,-0.032,-0.1553,-0.081,-0.1157,-0.1663,-0.1138,-0.025,-0.096
DR 54,-0.0801,-0.0883,-0.0422,-0.0198,0.0704,0.026,0.0057,-0.0034,-0.003,0.0907,0.1326,0.0835,0.027,0.2642,0.3354,0.3356,0.0696,-0.062,0.0254,0.1158,0.0903,0.1756
DR 56,0.0608,0.0311,-0.0408,-0.1299,-0.2561,0.0121,-0.1424,0.0318,-0.0272,-0.0821,0.1469,-0.0066,-0.0085,-0.0703,0.0943,0.0212,-0.0648,-0.0371,-0.0005,-0.0203,-0.1786,-0.0538
DR 63,0.2354,0.2965,0.0558,0.1202,-0.0307,-0.0759,-0.0208,-0.1047,-0.0184,-0.0106,-0.0117,-0.1195,-0.2234,-0.1598,-0.1333,-0.1664,-0.2195,-0.0232,-0.05,-0.0703,-0.1481,-0.1566
DR 40,0.0081,0.0329,-0.0481,-0.078,-0.0963,0.0394,0.298,0.0902,-0.0032,-0.0369,-0.0578,-0.0594,-0.034,-0.0933,-0.0712,-0.1043,-0.0313,0.0292,-0.0926,-0.051,-0.0644,-0.086
DR 38,-0.028,-0.0277,-0.0153,-0.1116,-0.0456,0.0202,-0.0905,-0.021,-0.0601,-0.0658,-0.002,0.011,0.1183,0.036,0.1257,0.058,0.3015,-0.0122,0.0688,-0.043,0.0008,0.2459
DR 58,-0.3363,-0.2926,0.0043,0.0854,0.2547,0.1083,0.1579,0.0582,0.1812,0.2375,-0.1478,-0.0715,0.1321,0.1106,0.0083,0.0287,0.207,0.0318,0.1093,0.0419,0.0904,0.1868
DR 10,-0.7716,-0.5508,-0.3417,0.0165,0.2479,0.0996,0.2262,-0.1218,0.1443,0.279,0.0214,0.0471,0.1035,0.2658,0.1425,0.1923,0.2326,-0.2095,-0.0259,0.0933,0.1502,0.2823
DR 51,-0.0971,-0.0897,-0.087,0.0358,0.0567,-0.0563,0.0256,-0.1122,-0.0062,0.1425,-0.0756,-0.1296,-0.1169,0.1676,0.0882,0.0918,0.0708,-0.1361,-0.0536,-0.0429,-0.0483,0.2649
DR 3,0.1519,0.1163,0.1816,-0.0653,-0.2239,0.2286,-0.0766,0.2062,0.1083,-0.0323,0.0921,0.1811,0.184,-0.2118,-0.0983,-0.0791,-0.0735,0.1992,0.1141,0.0371,-0.0956,-0.3048
DR 12,0.0635,0.0452,0.2358,-0.0072,-0.1636,0.1633,-0.034,0.1821,0.1661,0.1488,0.0202,0.0479,0.1565,-0.0394,-0.0762,0.0605,0.1313,0.1984,0.1966,0.0523,-0.097,0.0594
DR 60,0.2862,0.171,0.1259,0.011,-0.0085,-0.0935,-0.0782,-0.0078,-0.1646,-0.1317,0.0809,-0.0535,-0.2712,0.0178,0.0793,0.0595,-0.3691,0.0565,0.044,0.0392,-0.1408,-0.2415
DR 9,-0.0051,0.0005,-0.042,0.0437,0.0691,-0.0575,0.0525,-0.0241,-0.0403,0.0544,0.0936,-0.1197,-0.3821,0.1841,0.036,0.0288,-0.3966,-0.0206,-0.0708,-0.0536,-0.0772,-0.2136
DR 62,-0.1425,-0.0239,0.0393,-0.0261,-0.0818,-0.0156,-0.0631,-0.076,-0.0808,-0.1485,-0.0096,0.0229,0.0524,0.013,-0.0318,-0.0154,0.0025,0.0566,0.0984,0.0175,-0.0311,0.0128
DR 61,-0.3762,-0.3591,-0.2071,0.1429,0.2826,0.1584,0.1026,-0.1951,0.0395,0.1092,0.0188,0.1019,0.0781,0.2654,0.1886,0.1381,0.1743,-0.1793,-0.0009,0.1825,0.2359,0.2134
DR 57,-0.024,-0.0795,-0.0801,-0.1061,-0.1139,-0.1998,-0.0392,-0.0967,-0.1278,-0.0895,-0.0977,-0.2138,-0.2056,-0.1069,-0.1309,-0.1127,-0.1687,-0.0846,-0.0528,-0.2119,-0.1234,-0.0222
DR 19,0.6115,0.3804,0.3162,-0.0092,-0.2347,-0.0628,-0.209,0.1433,-0.0576,-0.1931,-0.0048,-0.0241,-0.089,-0.2307,-0.147,-0.1548,-0.24,0.2338,0.0691,-0.0388,-0.1511,-0.2727
DR 23,-0.1058,-0.0746,-0.0991,0.0697,0.2039,-0.2317,0.1359,-0.124,0.0348,0.1289,-0.427,-0.3415,-0.1603,0.0331,0.1057,-0.0423,0.0745,-0.1348,-0.1175,-0.1631,0.063,0.2224
DR 27,0.2373,0.1889,0.2366,-0.3355,-0.2705,0.0554,-0.2226,0.1392,-0.1959,-0.3673,0.0502,0.0423,0.0861,-0.1139,0.0226,0.0349,-0.0138,0.2276,0.1385,-0.0291,-0.1119,-0.0828
DR 15,0.213,0.2091,0.1246,-0.2386,-0.7836,0.0071,-0.3674,0.1635,-0.0885,-0.2322,0.0968,0.0064,0.0145,-0.2938,-0.0448,-0.0639,-0.1337,0.1484,0.0931,-0.1441,-0.4328,-0.2037
DR 34,0.0567,0.0739,0.0439,-0.0028,-0.0644,0.0049,-0.013,0.0265,0.0186,-0.0778,-0.0293,-0.0264,-0.0559,-0.1519,-0.4605,-0.2558,-0.0577,0.0899,0.011,-0.0307,-0.0045,-0.0965
DR 5,0.0688,0.0541,0.1886,-0.0462,-0.2188,0.0143,-0.0687,0.1438,0.1319,0.0415,-0.3135,-0.1997,0.1408,-0.2689,-0.1092,-0.1632,0.1243,0.1613,0.1164,-0.1821,-0.175,0.0567
DR 50,-0.0456,-0.0463,0.0074,0.0022,-0.0342,0.0939,-0.0415,0.0062,0.0034,0.0729,0.087,0.0677,0.0511,0.0734,0.0561,0.1322,-0.0183,-0.0069,0.0746,0.0838,-0.0584,-0.0084
DR 29,-0.103,-0.0485,-0.0609,-0.0558,0.0012,-0.072,0.0772,-0.0573,-0.1403,-0.1375,-0.1906,-0.0023,0.2024,-0.1306,0.0366,-0.0612,0.2119,-0.0637,-0.0177,-0.1363,0.0527,0.1379
DR 36,0.1142,0.1123,0.0491,0.0061,0.0023,0.0604,-0.0219,0.0187,-0.0852,-0.1787,-0.01,0.0916,0.0339,-0.0075,-0.0162,-0.0172,-0.0651,0.0626,-0.0437,0.0718,0.0176,-0.1377
DR 46,-0.0734,-0.0776,-0.075,0.1118,0.363,0.1092,0.1929,0.0669,0.1501,0.1912,0.0284,0.0414,0.0346,0.0865,-0.0185,0.0339,0.053,-0.0295,-0.0942,0.1222,0.119,0.0623
DR 28,0.0443,0.0473,-0.0068,-0.0708,-0.1809,-0.0303,0.0079,0.0109,-0.0272,-0.0702,0.0475,-0.0264,-0.0091,-0.1132,-0.123,-0.1335,-0.0879,0.0264,0.0313,-0.1219,-0.1472,-0.1464
DR 48,0.0907,0.1046,0.0918,0.0395,-0.0529,-0.0743,-0.0345,0.0308,-0.0898,-0.1885,-0.1454,-0.0997,-0.0461,-0.2646,-0.3156,-0.2866,-0.2752,0.0953,0.0288,-0.1012,-0.0927,-0.3927
DR 52,0.0482,0.0535,0.1188,-0.0183,-0.2272,0.0396,-0.1048,0.0555,0.0321,0.0279,0.0239,-0.0428,0.0233,-0.0937,-0.0712,0.0073,-0.0476,0.0623,0.1354,0.0084,-0.2876,-0.0986
DR 18,-0.3389,-0.3059,-0.3592,0.1773,0.351,-0.0202,0.2559,-0.3015,0.1804,0.3863,0.0611,0.0708,0.0525,0.3287,0.2614,0.2153,0.2568,-0.4429,-0.1872,0.0799,0.2629,0.3984
