# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,A_vs_null,dimension_vanished,confounder_flags
DR 1+,DR 1,+,MP5_STRESS,0.3186,MP5_STRESS,0.3186,MP5_STRESS,10.9072,1.2382262309589945e-11,True,True,True,True,stress,stress,convergent,above,False,none
DR 1-,DR 1,-,MP14_EMT_3,0.301,MP14_EMT_3,0.301,MP19_EPITHELIAL_SENESCENCE,10.9072,1.2382262309589945e-11,True,True,False,False,emt,senescence,both_different_family,above,False,mesenchymal_may_be_ambient_or_doublet
DR 2+,DR 2,+,MP12_EMT_1,0.3856,MP12_EMT_1,0.3856,MP12_EMT_1,19.1856,6.522288424656382e-20,True,True,True,True,emt,emt,convergent,above,False,mesenchymal_may_be_ambient_or_doublet
DR 2-,DR 2,-,MP21_RESPIRATION,0.1988,MP21_RESPIRATION,0.1988,MP20_MYC,3.7421,0.00018109230641640586,False,True,False,False,metabolic,metabolic,factor_only,below,False,cell_cycle
DR 3+,DR 3,+,MP6_HYPOXIA,0.2286,MP6_HYPOXIA,0.2286,MP14_EMT_3,8.494,3.2062693245054673e-09,True,True,False,False,stress,emt,both_different_family,below,False,none
DR 3-,DR 3,-,MP23_SECRETED_2,0.3048,MP23_SECRETED_2,0.3048,MP23_SECRETED_2,8.0675,8.560517117200931e-09,True,True,True,True,secreted,secreted,convergent,above,False,none
DR 4+,DR 4,+,MP17_INTERFERON_MHC_II_1,0.1413,MP17_INTERFERON_MHC_II_1,0.1413,MP18_INTERFERON_MHC_II_2,1.6268,0.02361565523917717,False,True,False,False,immune,immune,factor_only,below,False,none
DR 4-,DR 4,-,MP21_RESPIRATION,0.2841,MP21_RESPIRATION,0.2841,MP14_EMT_3,1.1411,0.0722603398863415,True,False,False,False,metabolic,emt,cell_only,above,False,depth
DR 5+,DR 5,+,MP3_CELL_CYCLE_HMG_RICH,0.1886,MP3_CELL_CYCLE_HMG_RICH,0.1886,MP14_EMT_3,6.5344,2.9214603738773346e-07,False,True,False,False,cell_cycle,emt,factor_only,below,False,mesenchymal_may_be_ambient_or_doublet
DR 5-,DR 5,-,MP12_EMT_1,0.3135,MP12_EMT_1,0.3135,MP12_EMT_1,8.2744,5.316183950739626e-09,True,True,True,True,emt,emt,convergent,above,False,mesenchymal_may_be_ambient_or_doublet
DR 6+,DR 6,+,MP8_PROTEASOMAL_DEGRADATION,0.2711,MP8_PROTEASOMAL_DEGRADATION,0.2711,MP14_EMT_3,5.6268,2.361565523917716e-06,True,True,False,False,proteostasis,emt,both_different_family,above,False,none
DR 6-,DR 6,-,MP4_CHROMATIN,0.4202,MP4_CHROMATIN,0.4202,MP4_CHROMATIN,0.7892,0.16248003352273196,True,False,False,False,chromatin,chromatin,cell_only,above,False,none
DR 7+,DR 7,+,MP2_CELL_CYCLE_G1_S,0.7325,MP2_CELL_CYCLE_G1_S,0.7325,MP1_CELL_CYCLE_G2_M,32.8901,1.2879529554199833e-33,True,True,False,True,cell_cycle,cell_cycle,convergent,above,False,cell_cycle
DR 7-,DR 7,-,MP15_EMT_4,0.263,MP15_EMT_4,0.263,MP18_INTERFERON_MHC_II_2,2.6682,0.0021468415893607404,True,True,False,False,emt,immune,both_different_family,above,False,mesenchymal_may_be_ambient_or_doublet
DR 8+,DR 8,+,MP5_STRESS,0.2292,MP5_STRESS,0.2292,MP6_HYPOXIA,2.1698,0.006763943948096019,True,True,False,True,stress,stress,convergent,below,False,none
DR 8-,DR 8,-,MP21_RESPIRATION,0.2614,MP21_RESPIRATION,0.2614,MP17_INTERFERON_MHC_II_1,4.073,8.452788451602891e-05,True,True,False,False,metabolic,immune,both_different_family,above,False,depth
DR 9+,DR 9,+,MP15_EMT_4,0.1841,MP15_EMT_4,0.1841,MP15_EMT_4,5.2889,5.1416202813543565e-06,False,True,False,False,emt,emt,factor_only,below,False,mesenchymal_may_be_ambient_or_doublet
DR 9-,DR 9,-,MP19_EPITHELIAL_SENESCENCE,0.3966,MP19_EPITHELIAL_SENESCENCE,0.3966,MP19_EPITHELIAL_SENESCENCE,21.5103,3.0881614691845063e-22,True,True,True,True,senescence,senescence,convergent,above,False,none
DR 10+,DR 10,+,MP23_SECRETED_2,0.2823,MP23_SECRETED_2,0.2823,MP6_HYPOXIA,1.6436,0.022719564377352678,True,True,False,False,secreted,stress,both_different_family,above,False,none
DR 10-,DR 10,-,MP1_CELL_CYCLE_G2_M,0.7716,MP1_CELL_CYCLE_G2_M,0.7716,MP1_CELL_CYCLE_G2_M,43.6257,2.3675545815176735e-44,True,True,True,True,cell_cycle,cell_cycle,convergent,above,False,cell_cycle
DR 11+,DR 11,+,MP7_STRESS_IN_VITRO,0.1296,MP7_STRESS_IN_VITRO,0.1296,MP21_RESPIRATION,0.5844,0.2603754298938736,False,False,False,False,stress,metabolic,neither,below,False,none
DR 11-,DR 11,-,MP14_EMT_3,0.1741,MP14_EMT_3,0.1741,MP14_EMT_3,11.9403,1.1473607789425273e-12,False,True,False,False,emt,emt,factor_only,below,False,mesenchymal_may_be_ambient_or_doublet
DR 12+,DR 12,+,MP3_CELL_CYCLE_HMG_RICH,0.2358,MP3_CELL_CYCLE_HMG_RICH,0.2358,MP14_EMT_3,4.7857,1.6379475848349544e-05,True,True,False,False,cell_cycle,emt,both_different_family,below,False,"depth,cell_cycle"
DR 12-,DR 12,-,MP5_STRESS,0.1636,MP5_STRESS,0.1636,MP1_CELL_CYCLE_G2_M,0.0,1.0,False,False,False,False,stress,cell_cycle,neither,below,False,none
DR 13+,DR 13,+,MP3_CELL_CYCLE_HMG_RICH,0.239,MP3_CELL_CYCLE_HMG_RICH,0.239,MP39_METAL_RESPONSE,4.6872,2.0549440413453034e-05,True,True,False,False,cell_cycle,detoxification,both_different_family,below,False,"depth,cell_cycle"
DR 13-,DR 13,-,MP7_STRESS_IN_VITRO,0.2514,MP7_STRESS_IN_VITRO,0.2514,MP5_STRESS,7.8667,1.3592520604236831e-08,True,True,False,True,stress,stress,convergent,below,False,none
DR 14+,DR 14,+,MP22_SECRETED_1,0.1995,MP22_SECRETED_1,0.1995,MP17_INTERFERON_MHC_II_1,2.7982,0.0015914756566438562,False,True,False,False,secreted,immune,factor_only,below,False,none
DR 14-,DR 14,-,MP21_RESPIRATION,0.2366,MP21_RESPIRATION,0.2366,MP14_EMT_3,4.0403,9.11381062129295e-05,True,True,False,False,metabolic,emt,both_different_family,below,False,depth
DR 15+,DR 15,+,MP1_CELL_CYCLE_G2_M,0.213,MP1_CELL_CYCLE_G2_M,0.213,MP20_MYC,2.503,0.0031405086938762167,True,True,False,False,cell_cycle,metabolic,both_different_family,below,False,cell_cycle
DR 15-,DR 15,-,MP5_STRESS,0.7836,MP5_STRESS,0.7836,MP5_STRESS,32.9026,1.2514110918023901e-33,True,True,True,True,stress,stress,convergent,above,False,none
DR 16+,DR 16,+,MP12_EMT_1,0.0951,MP12_EMT_1,0.0951,MP12_EMT_1,12.1232,7.530087105475883e-13,False,True,False,False,emt,emt,factor_only,below,False,mesenchymal_may_be_ambient_or_doublet
DR 16-,DR 16,-,MP3_CELL_CYCLE_HMG_RICH,0.1431,MP3_CELL_CYCLE_HMG_RICH,0.1431,MP14_EMT_3,2.6638,0.0021687025993454645,False,True,False,False,cell_cycle,emt,factor_only,below,False,mesenchymal_may_be_ambient_or_doublet
DR 17+,DR 17,+,MP3_CELL_CYCLE_HMG_RICH,0.0768,MP3_CELL_CYCLE_HMG_RICH,0.0768,MP17_INTERFERON_MHC_II_1,4.073,8.452788451602891e-05,False,True,False,False,cell_cycle,immune,factor_only,below,False,none
DR 17-,DR 17,-,MP6_HYPOXIA,0.536,MP6_HYPOXIA,0.536,MP6_HYPOXIA,25.7133,1.9350847929379033e-26,True,True,True,True,stress,stress,convergent,above,False,none
DR 18+,DR 18,+,MP23_SECRETED_2,0.3984,MP23_SECRETED_2,0.3984,MP23_SECRETED_2,5.5951,2.5403876923166744e-06,True,True,True,True,secreted,secreted,convergent,above,False,none
