# confounders | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epicnv_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
MP1_CELL_CYCLE_G2_M,cell_cycle,-0.1876650664523234,0.0,-0.11401958704472898,2.0255182278591188e-173,0.48410767901909907,0.0,0.8333898889095248,0.0
MP2_CELL_CYCLE_G1_S,cell_cycle,-0.17103883670385348,0.0,-0.09338517947433655,9.582636419420807e-117,0.6878438971319389,0.0,0.6435731206544504,0.0
MP3_CELL_CYCLE_HMG_RICH,cell_cycle,0.38754450673105684,0.0,-0.03463000777193828,1.8729737618019763e-17,0.4340476640178846,0.0,0.3983472512427577,0.0
MP4_CHROMATIN,chromatin,0.1942590643016128,0.0,0.3001105474450363,0.0,-0.042432166272019775,2.0446299571204903e-25,-0.05204997212342854,2.0478513116192736e-37
MP5_STRESS,stress,0.16754834715604716,0.0,0.27123351340721275,0.0,-0.2530346208315677,0.0,-0.2894423808605906,0.0
MP6_HYPOXIA,stress,0.2719020124283712,0.0,-0.05615266720280377,2.854860287771468e-43,0.08488432448209153,1.0054043974671655e-96,0.05135658161761752,1.8086102768563845e-36
MP7_STRESS_IN_VITRO,stress,0.16093435297241018,0.0,0.11520896347203602,4.883471381202389e-177,-0.21596920941128314,0.0,-0.25875495450534247,0.0
MP8_PROTEASOMAL_DEGRADATION,proteostasis,0.2431184606792738,0.0,-0.13462474065829916,1.4681957643588426e-241,0.28320338078561025,0.0,0.2546756953562875,0.0
MP9_UNFOLDED_PROTEIN_RESPONSE,proteostasis,0.4011334654424846,0.0,0.19556618233827436,0.0,0.05692568164262653,2.0081216256929062e-44,-0.005904125605523655,0.1473383077269904
MP10_PROTEIN_MATURATION,proteostasis,0.48558681640732887,0.0,0.33069042902916246,0.0,-0.064660260472741,7.988055814330463e-57,-0.1728004055709433,0.0
MP12_EMT_1,emt,-0.05748124948581918,2.914559975192875e-45,-0.05381656751814478,6.982606312715452e-40,0.036365184070156556,4.351111399266808e-19,0.05065301939673758,1.600998433193014e-35
MP13_EMT_2,emt,0.1345755446597853,2.20470823318628e-241,-0.03678602938299598,1.7003537667003457e-19,0.053951881707633716,4.4839208108598805e-40,0.06598878862125723,4.1097219800737655e-59
MP14_EMT_3,emt,0.23633569773014304,0.0,-0.05343520729602092,2.418608292850388e-39,0.04019922664334214,5.636409511396725e-23,0.027138960224526835,2.7078101363019105e-11
MP15_EMT_4,emt,0.20616168980467736,0.0,0.10815947988796701,3.724605612388305e-156,-0.13465111606280672,1.1805752541216413e-241,-0.20824773855136497,0.0
MP17_INTERFERON_MHC_II_1,immune,0.0982584407970628,4.279023618198176e-129,-0.06718410883771823,3.2721288105243276e-61,-0.029003603065538265,1.0829277814881259e-12,-0.05895233861803901,1.6064176734974556e-47
MP18_INTERFERON_MHC_II_2,immune,0.2551974266927909,0.0,-0.008394612485577296,0.039376181235662853,-0.0005468005784684827,0.8932481603152733,-0.04155337078373431,1.9344398414142634e-24
MP19_EPITHELIAL_SENESCENCE,senescence,0.2646656998181855,0.0,0.00095364793958597,0.8149512819877821,-0.12092757264376708,5.706729909220158e-195,-0.19603815333269345,0.0
MP20_MYC,metabolic,0.2727068126846135,0.0,-0.12128774867470388,3.9545820338811484e-196,0.3744374791783141,0.0,0.31120062705400375,0.0
MP21_RESPIRATION,metabolic,0.3171459327789173,0.0,0.021424656656855872,1.4513890416959088e-07,0.07669075377514374,2.986962100458357e-79,-0.02289989788143457,1.9006671937610876e-08
MP39_METAL_RESPONSE,detoxification,0.21126885509787213,0.0,0.03468296243139093,1.6742558808647686e-17,0.04370752241903578,7.218732652836296e-27,0.023967433586820935,4.031169274139201e-09
MP22_SECRETED_1,secreted,0.17749527711801946,0.0,0.10298161113870924,1.1280624616545157e-141,-0.16357637822833188,0.0,-0.16678667244844936,0.0
MP23_SECRETED_2,secreted,0.15839402551062792,0.0,0.05307259402792748,7.817203586352998e-39,-0.15926942648096595,0.0,-0.22612715194712343,0.0
