# dim_geneset_signed_significance | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_B_EPITHELIAL,EMT_A_EPITHELIAL,EMT_C_EPITHELIAL,EMT_B_HYBRID,EMT_A_HYBRID,EMT_C_HYBRID,EMT_B_MESENCHYMAL,EMT_A_MESENCHYMAL,EMT_C_MESENCHYMAL
DR 38,0.0,0.0,0.0,0.05,0.05,0.3904,2.2598,3.3425,1.9044
DR 29,-0.0727,0.0,-0.1327,-0.4213,-0.4213,-0.7959,-0.05,0.0,-0.1788
DR 22,1.2693,0.9653,0.6646,0.05,0.05,0.1065,0.2452,0.4421,0.8257
DR 4,-0.5081,-0.2064,-0.1327,-0.05,-0.05,-0.1065,0.0,0.0,0.0
DR 24,0.0727,0.0,0.1327,-0.05,-0.05,0.0,0.05,-0.0,0.0223
DR 14,1.2693,0.9653,0.6646,0.05,0.05,-0.1065,-0.5593,-0.4421,-0.4429
DR 21,0.5081,0.2064,0.1327,0.4213,0.4213,1.3577,-0.0,-0.0,0.0223
DR 34,0.0727,0.0,0.1327,0.05,0.05,-0.0,-0.0,0.0,0.0223
DR 39,0.0727,0.2064,0.1327,-1.0033,-1.0033,-0.7959,-0.9915,-0.4421,-1.2992
DR 11,-0.5081,-0.9653,0.1327,-1.9236,-1.9236,-1.3577,-0.5593,-0.4421,-0.8257
DR 32,0.0727,0.2064,0.1327,-0.4213,-0.4213,-2.0935,-0.9915,-0.1343,-1.2992
DR 19,0.5081,0.9653,0.1327,-0.4213,-0.4213,-0.7959,-0.5593,-0.926,-1.2992
DR 48,-0.5081,-0.2064,-0.6646,0.0,0.0,0.0,0.2452,-0.0,0.1788
DR 64,0.0727,-0.2064,0.1327,0.0,0.0,0.0,-0.0,0.0,-0.0
DR 62,0.0727,0.0,0.1327,0.0,0.0,0.0,-0.2452,0.1343,-0.1788
DR 30,0.5081,0.2064,0.1327,0.4213,0.4213,0.1065,0.0,0.0,0.0223
DR 55,0.0727,0.2064,0.1327,0.0,0.0,0.0,-0.0,-0.0,-0.0
DR 44,-1.2693,-0.2064,-0.6646,-0.05,-0.05,0.0,-0.0,-0.0,-0.0223
DR 37,0.0,0.0,0.0,0.4213,0.4213,0.1065,0.5593,0.4421,0.8257
DR 9,-1.2693,-0.9653,-0.6646,0.05,0.05,0.0,0.05,-0.0,0.0223
DR 7,0.0727,0.2064,-0.1327,0.05,0.05,-0.0,0.05,-0.0,0.0223
DR 31,-1.2693,-0.9653,-0.6646,0.0,0.0,-0.1065,0.05,-0.0,0.0223
DR 51,0.5081,0.2064,0.6646,0.4213,0.4213,0.1065,-0.05,-0.1343,-0.4429
DR 57,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
DR 33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
