# confounders | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
readout,axis,rho_n_genes_by_counts,p_n_genes_by_counts,rho_pct_counts_mt,p_pct_counts_mt,rho_S_score,p_S_score,rho_G2M_score,p_G2M_score
EMT_B_EPITHELIAL,epithelial,0.3247967532982479,0.0,0.13521890413331306,6.073106063424149e-171,-0.15828387970478755,2.923312999163715e-234,-0.23785697310427073,0.0
EMT_B_HYBRID,hybrid,0.14931629068131702,2.0714825108153917e-208,0.10708984898625937,1.3395589052938278e-107,0.09919191042037423,1.6304814500236157e-92,0.07487876154499555,2.0877880187400528e-53
EMT_B_MESENCHYMAL,mesenchymal,0.06192450322889105,4.7535307091204976e-37,0.08809631957845318,2.6732139510820273e-73,0.07539956204390653,3.9559434536115295e-54,0.07539279480371562,4.0426818644273877e-54
EMT_A_EPITHELIAL,epithelial,0.34087176284432835,0.0,0.10909558972655685,1.2841118287078985e-111,-0.14707872697019012,3.3191646658319747e-202,-0.2241699296068762,0.0
EMT_A_HYBRID,hybrid,0.010915848714589938,0.02511438760940422,0.06260973240577443,7.74907076482605e-38,-0.0031929325749505215,0.5124123314377147,-0.001993528483062054,0.6825347626728852
EMT_A_MESENCHYMAL,mesenchymal,-0.05562114393630668,3.3046323116761734e-30,0.02957948016568143,1.2786132009734216e-09,0.05066866639248418,2.42223104980846e-25,0.10541534528943655,2.6516510195165597e-104
EMT_C_EPITHELIAL,epithelial,0.28083374661405586,0.0,0.10818589115135817,8.720487011852767e-110,-0.1475917151943092,1.2798099669043418e-203,-0.23427411756064398,0.0
EMT_C_HYBRID,hybrid,0.06973749130468752,1.5212662617251448e-46,0.00420092783342452,0.38874497868838304,-0.00935272619072362,0.05499537205723009,-0.045729060774861253,6.1730672569213504e-21
EMT_C_MESENCHYMAL,mesenchymal,0.1763097253779442,4.975065293186283e-291,0.13362562323035768,5.96931124996424e-167,0.06219838587609257,2.307733605348047e-37,0.04195135190178832,7.253742833712593e-18
EMT_SCORE_B,emt_score,-0.17678547005244552,1.2905214970096884e-292,-0.04637272235515193,1.7439408382017813e-21,0.12878117225445862,4.122855639747244e-155,0.12929239153593758,2.4385074710835585e-156
EMT_SCORE_A,emt_score,-0.26721485544999923,0.0,-0.055997483658102816,1.352300721176357e-30,0.10051704806714339,5.797379381894696e-95,0.13290028189181924,3.7784324515617004e-165
EMT_SCORE_C,emt_score,-0.10557884888464614,1.2704627872470244e-104,-0.012594311878230359,0.009765054689055157,0.1007019833357981,2.623097869805079e-95,0.10006839063544387,3.9456989903789615e-94
