# dim_target_effect_size | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | nothing pruned: every dimension and direction kept | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,auroc_target_vs_rest,standardised_mean_difference,abs_auroc_from_half
DR 4,0.3130562356690374,-0.6493902,0.1869437643309626
DR 28,0.6775329972715802,0.7020354,0.17753299727158023
DR 62,0.6757527112207983,0.6546537,0.17575271122079827
DR 5,0.33715681425430954,-0.5094231,0.16284318574569046
DR 13,0.3679187392928896,-0.6126954,0.1320812607071104
DR 3,0.37987815166518574,-0.33655256,0.12012184833481426
DR 37,0.6195071392000996,0.35660598,0.11950713920009959
DR 57,0.38075958960009326,-0.4759628,0.11924041039990674
DR 21,0.6184967150579176,0.49467742,0.11849671505791759
DR 63,0.3868894216343918,-0.41763392,0.11311057836560823
DR 64,0.61282362116798,0.39134204,0.11282362116797995
DR 40,0.3913375689859563,-0.45349827,0.10866243101404371
DR 20,0.6045463685319518,0.44818652,0.10454636853195176
DR 16,0.5997226018064103,0.34001076,0.09972260180641035
DR 32,0.40137049203042174,-0.38153294,0.09862950796957826
DR 51,0.4016061601022137,-0.33435628,0.09839383989778627
DR 8,0.5902632672820638,0.35207513,0.0902632672820638
DR 29,0.41175453950101515,-0.33868438,0.08824546049898485
DR 31,0.41935565553887555,-0.30361205,0.08064434446112445
DR 25,0.5762230154264463,0.193818,0.07622301542644627
DR 9,0.4241758436726273,-0.2632789,0.07582415632737272
DR 17,0.5755090954164817,0.122131795,0.07550909541648165
DR 42,0.4260642056093491,-0.33037168,0.0739357943906509
DR 12,0.4265426144503657,-0.29423526,0.07345738554963432
DR 22,0.5732662718508331,0.30484083,0.07326627185083312
DR 6,0.5692233019551785,0.19630997,0.06922330195517845
DR 10,0.43122595916518996,-0.23600578,0.06877404083481004
DR 33,0.431704543013225,-0.16938367,0.06829545698677503
DR 44,0.4332915790726366,-0.29838696,0.0667084209273634
DR 60,0.43399772635709494,-0.25365296,0.06600227364290506
DR 11,0.43727803377080254,-0.26424843,0.06272196622919746
DR 56,0.5627038861937809,0.16666518,0.06270388619378087
DR 26,0.43987955534216766,-0.2885797,0.06012044465783234
DR 2,0.5587341778568569,0.1372261,0.05873417785685686
DR 54,0.44279828618644257,-0.17867814,0.05720171381355743
DR 19,0.44341041245895485,-0.22847843,0.05658958754104515
DR 49,0.5562324706332189,0.124639034,0.0562324706332189
DR 59,0.5558430800173124,0.21016774,0.05584308001731242
DR 24,0.5552875715326101,0.10593977,0.0552875715326101
DR 14,0.5526239647127917,0.1926584,0.05262396471279174
DR 41,0.4524788718251011,-0.2231033,0.0475211281748989
DR 39,0.4526085821993482,-0.16380283,0.047391417800651814
DR 30,0.5457426706457228,0.18105806,0.045742670645722794
DR 52,0.5454171696609764,0.15202399,0.04541716966097642
DR 43,0.5442427337689439,0.15434246,0.04424273376894394
DR 47,0.5410023520943271,0.1130479,0.04100235209432712
DR 55,0.46737485972282267,-0.022368696,0.032625140277177334
DR 7,0.5304368826929162,0.014224505,0.030436882692916223
DR 18,0.4742256180825459,-0.11455323,0.025774381917454126
DR 23,0.5256214378528352,0.03577139,0.025621437852835216
DR 34,0.5232853657200115,0.046783164,0.023285365720011497
DR 1,0.51970329792881,0.12186843,0.019703297928809982
DR 61,0.48246797190521806,-0.07223618,0.017532028094781937
DR 53,0.5174116111966836,-0.00019669828,0.017411611196683552
DR 50,0.4827177853718755,-0.06374509,0.017282214628124515
DR 46,0.5172438096396762,0.14060941,0.0172438096396762
DR 15,0.4831871059173856,-0.014327596,0.016812894082614382
DR 38,0.48765428679088063,-0.045623403,0.012345713209119369
DR 45,0.511351015559693,0.016729265,0.011351015559692978
DR 48,0.5112102616391133,0.031951915,0.011210261639113317
DR 27,0.4900809220383562,-0.07841387,0.009919077961643818
DR 58,0.4948446432524174,-0.013885126,0.005155356747582607
DR 36,0.5048320524026533,-0.037396964,0.004832052402653275
DR 35,0.49902760669333046,-0.062408954,0.0009723933066695389
