# shared_genes_emt_vs_gavish | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_A_EPITHELIAL,EMT_B_EPITHELIAL,EMT_C_EPITHELIAL,EMT_A_HYBRID,EMT_B_HYBRID,EMT_C_HYBRID,EMT_A_MESENCHYMAL,EMT_B_MESENCHYMAL,EMT_C_MESENCHYMAL,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4
EMT_A_EPITHELIAL,15,15,13,0,0,1,0,0,0,0,0,5,0
EMT_B_EPITHELIAL,15,27,23,0,0,1,0,0,0,0,1,6,0
EMT_C_EPITHELIAL,13,23,28,2,2,3,0,0,0,0,2,4,0
EMT_A_HYBRID,0,0,2,12,12,11,0,1,1,0,4,0,0
EMT_B_HYBRID,0,0,2,12,20,17,1,2,2,1,4,0,1
EMT_C_HYBRID,1,1,3,11,17,33,4,6,6,4,7,1,2
EMT_A_MESENCHYMAL,0,0,0,0,1,4,19,19,19,6,2,2,2
EMT_B_MESENCHYMAL,0,0,0,1,2,6,19,33,32,6,5,2,2
EMT_C_MESENCHYMAL,0,0,0,1,2,6,19,32,41,6,4,2,2
MP12_EMT_1,0,0,0,0,1,4,6,6,6,48,8,2,8
MP13_EMT_2,0,1,2,4,4,7,2,5,4,8,50,9,3
MP14_EMT_3,5,6,4,0,0,1,2,2,2,2,9,50,0
MP15_EMT_4,0,0,0,0,1,2,2,2,2,8,3,0,49
