# ora_all_pairs | collection emt (epithelial-mesenchymal transition (EMT)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
gene_list,Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,arm,resolution,fdr_bh,significant
0,gs_ind_0,EMT_C_HYBRID,2/11,0.3026424059627462,0.4859611905187856,2.3750497149675196,2.838667372830134,harmony_leiden,0.2,1.0,False
0,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4859611905187856,0.4859611905187856,1.5517241379310345,1.1197652790566384,harmony_leiden,0.2,1.0,False
1,gs_ind_0,EMT_A_MESENCHYMAL,2/10,0.11556255856034459,0.32767168637398,4.689612015018773,10.119916654330511,harmony_leiden,0.2,1.0,False
1,gs_ind_0,EMT_B_MESENCHYMAL,2/14,0.20079735695869796,0.32767168637398,3.1821276595744683,5.108775661435021,harmony_leiden,0.2,1.0,False
1,gs_ind_0,EMT_C_HYBRID,1/11,0.4916199626657634,0.4916199626657634,2.2561784207353828,1.6019978960819998,harmony_leiden,0.2,1.0,False
1,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.24575376478048497,0.32767168637398,2.7402787967718267,3.845776319834287,harmony_leiden,0.2,1.0,False
2,gs_ind_0,EMT_C_HYBRID,1/11,0.6871503525497031,0.815935952873828,1.2821339061940566,0.4810594070651021,harmony_leiden,0.2,1.0,False
2,gs_ind_0,EMT_C_MESENCHYMAL,1/16,0.815935952873828,0.815935952873828,0.8661169051661411,0.1761849952303511,harmony_leiden,0.2,1.0,False
3,gs_ind_0,EMT_A_MESENCHYMAL,2/10,0.26380321943881124,0.4859611905187856,2.65594902948585,3.5391897520682605,harmony_leiden,0.2,1.0,False
3,gs_ind_0,EMT_B_MESENCHYMAL,2/14,0.4157573805821314,0.4859611905187856,1.8020151133501259,1.5815447066059733,harmony_leiden,0.2,1.0,False
3,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4859611905187856,0.4859611905187856,1.5517241379310345,1.1197652790566384,harmony_leiden,0.2,1.0,False
5,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.7723912010246936,0.7723912010246936,0.9955444165970482,0.2571134028989587,harmony_leiden,0.2,1.0,False
5,gs_ind_0,EMT_C_HYBRID,2/11,0.3026424059627462,0.45396360894411936,2.3750497149675196,2.838667372830134,harmony_leiden,0.2,1.0,False
5,gs_ind_0,EMT_C_MESENCHYMAL,3/16,0.21021240394829258,0.45396360894411936,2.3464603844350678,3.659625993605602,harmony_leiden,0.2,1.0,False
0,gs_ind_0,EMT_A_MESENCHYMAL,1/10,0.6521950846781617,0.7723912010246936,1.4178868223189554,0.6060212075438708,harmony_leiden,0.4,1.0,False
0,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.7723912010246936,0.7723912010246936,0.9955444165970482,0.2571134028989587,harmony_leiden,0.4,1.0,False
0,gs_ind_0,EMT_C_HYBRID,2/11,0.3026424059627462,0.6052848119254924,2.3750497149675196,2.838667372830134,harmony_leiden,0.4,1.0,False
0,gs_ind_0,EMT_C_MESENCHYMAL,3/16,0.21021240394829258,0.6052848119254924,2.3464603844350678,3.659625993605602,harmony_leiden,0.4,0.9249345773724874,False
1,gs_ind_0,EMT_A_MESENCHYMAL,1/10,0.6521950846781617,0.7723912010246936,1.4178868223189554,0.6060212075438708,harmony_leiden,0.4,1.0,False
1,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.7723912010246936,0.7723912010246936,0.9955444165970482,0.2571134028989587,harmony_leiden,0.4,1.0,False
1,gs_ind_0,EMT_C_HYBRID,1/11,0.6871503525497031,0.7723912010246936,1.2821339061940566,0.4810594070651021,harmony_leiden,0.4,1.0,False
1,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4859611905187856,0.7723912010246936,1.5517241379310345,1.1197652790566384,harmony_leiden,0.4,1.0,False
2,gs_ind_0,EMT_A_MESENCHYMAL,1/10,0.6521950846781617,0.7723912010246936,1.4178868223189554,0.6060212075438708,harmony_leiden,0.4,1.0,False
2,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.7723912010246936,0.7723912010246936,0.9955444165970482,0.2571134028989587,harmony_leiden,0.4,1.0,False
2,gs_ind_0,EMT_C_HYBRID,1/11,0.6871503525497031,0.7723912010246936,1.2821339061940566,0.4810594070651021,harmony_leiden,0.4,1.0,False
2,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4859611905187856,0.7723912010246936,1.5517241379310345,1.1197652790566384,harmony_leiden,0.4,1.0,False
3,gs_ind_0,EMT_A_MESENCHYMAL,2/10,0.06435951206802702,0.1458743391803389,6.718915110954561,18.43180187240734,harmony_leiden,0.4,0.5612954400998513,False
3,gs_ind_0,EMT_B_MESENCHYMAL,2/14,0.11673548983138708,0.1458743391803389,4.559281437125748,9.792628353167093,harmony_leiden,0.4,0.7337659360830046,False
3,gs_ind_0,EMT_C_HYBRID,2/11,0.07654028728634335,0.1458743391803389,6.008509297195084,15.441496640065711,harmony_leiden,0.4,0.5612954400998513,False
3,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.1458743391803389,0.1458743391803389,3.926285360313855,7.5581374759186835,harmony_leiden,0.4,0.802308865491864,False
5,gs_ind_0,EMT_A_MESENCHYMAL,6/10,1.8368942373565346e-05,3.673788474713069e-05,19.77982779827798,215.69604001395479,harmony_leiden,0.4,0.0004041167322184376,True
5,gs_ind_0,EMT_B_MESENCHYMAL,7/14,1.6894130584681033e-05,3.673788474713069e-05,13.773234200743495,151.347794155928,harmony_leiden,0.4,0.0004041167322184376,True
5,gs_ind_0,EMT_C_HYBRID,4/11,0.0052886698713909,0.0052886698713909,8.083636363636364,42.37594563868516,harmony_leiden,0.4,0.0581753685852999,False
5,gs_ind_0,EMT_C_MESENCHYMAL,7/16,4.9910392928900945e-05,6.654719057186792e-05,10.861866562316573,107.58984376197843,harmony_leiden,0.4,0.0007320190962905472,True
6,gs_ind_0,EMT_A_MESENCHYMAL,2/10,0.26380321943881124,0.4859611905187856,2.65594902948585,3.5391897520682605,harmony_leiden,0.4,1.0,False
6,gs_ind_0,EMT_B_MESENCHYMAL,2/14,0.4157573805821314,0.4859611905187856,1.8020151133501259,1.5815447066059733,harmony_leiden,0.4,1.0,False
6,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4859611905187856,0.4859611905187856,1.5517241379310345,1.1197652790566384,harmony_leiden,0.4,1.0,False
8,gs_ind_0,EMT_A_MESENCHYMAL,1/10,0.6521950846781617,0.7723912010246936,1.4178868223189554,0.6060212075438708,harmony_leiden,0.4,1.0,False
8,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.7723912010246936,0.7723912010246936,0.9955444165970482,0.2571134028989587,harmony_leiden,0.4,1.0,False
8,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4859611905187856,0.7723912010246936,1.5517241379310345,1.1197652790566384,harmony_leiden,0.4,1.0,False
9,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.7723912010246936,0.7723912010246936,0.9955444165970482,0.2571134028989587,harmony_leiden,0.4,1.0,False
9,gs_ind_0,EMT_C_HYBRID,2/11,0.3026424059627462,0.45396360894411936,2.3750497149675196,2.838667372830134,harmony_leiden,0.4,1.0,False
9,gs_ind_0,EMT_C_MESENCHYMAL,3/16,0.21021240394829258,0.45396360894411936,2.3464603844350678,3.659625993605602,harmony_leiden,0.4,0.9249345773724874,False
0,gs_ind_0,EMT_A_MESENCHYMAL,3/10,0.0697156550851069,0.2788626203404276,4.237805907172996,11.28667721611285,harmony_leiden,0.6,0.24400479279787415,False
0,gs_ind_0,EMT_B_MESENCHYMAL,3/14,0.1577563477284104,0.2802832052643901,2.757622454595487,5.092511146691434,harmony_leiden,0.6,0.4907975262661657,False
0,gs_ind_0,EMT_C_HYBRID,1/11,0.6871503525497031,0.6871503525497031,1.2821339061940566,0.4810594070651021,harmony_leiden,0.6,1.0,False
0,gs_ind_0,EMT_C_MESENCHYMAL,3/16,0.21021240394829258,0.2802832052643901,2.3464603844350678,3.659625993605602,harmony_leiden,0.6,0.5885947310552192,False
1,gs_ind_0,EMT_A_MESENCHYMAL,1/10,0.6521950846781617,0.6521950846781617,1.4178868223189554,0.6060212075438708,harmony_leiden,0.6,1.0,False
1,gs_ind_0,EMT_B_MESENCHYMAL,2/14,0.4157573805821314,0.5543431741095085,1.8020151133501259,1.5815447066059733,harmony_leiden,0.6,0.8530804504779462,False
1,gs_ind_0,EMT_C_HYBRID,3/11,0.0890268800811036,0.1780537601622072,3.737155621742368,9.039495293396369,harmony_leiden,0.6,0.29326501673775307,False
1,gs_ind_0,EMT_C_MESENCHYMAL,4/16,0.06763160999690164,0.1780537601622072,3.276641221374046,8.82622227550237,harmony_leiden,0.6,0.24400479279787415,False
10,gs_ind_0,EMT_A_MESENCHYMAL,2/10,0.22335726225016894,0.5687203003186309,3.0049710024855014,4.504399596613083,harmony_leiden,0.6,0.5956193660004505,False
10,gs_ind_0,EMT_B_MESENCHYMAL,2/14,0.36078141037809397,0.5687203003186309,2.0388732394366196,2.0785966382883796,harmony_leiden,0.6,0.8418232908822193,False
10,gs_ind_0,EMT_C_HYBRID,1/11,0.644449622279404,0.644449622279404,1.4497799119647858,0.6369733090281343,harmony_leiden,0.6,1.0,False
10,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4265402252389731,0.5687203003186309,1.7557066537153958,1.4959473993852694,harmony_leiden,0.6,0.8530804504779462,False
12,gs_ind_0,EMT_A_MESENCHYMAL,3/10,0.00764302803742047,0.03057211214968188,10.528994082840237,51.31791089167381,harmony_leiden,0.6,0.06114422429936376,False
12,gs_ind_0,EMT_B_MESENCHYMAL,3/14,0.020435673959003357,0.03937152566049377,6.852328273732956,26.658799382451633,harmony_leiden,0.6,0.10403615833674437,False
12,gs_ind_0,EMT_C_HYBRID,1/11,0.38766425223129736,0.38766425223129736,3.143682906688687,2.9790030998686623,harmony_leiden,0.6,0.8530804504779462,False
12,gs_ind_0,EMT_C_MESENCHYMAL,3/16,0.029528644245370324,0.03937152566049377,5.831032215647601,20.53919577875175,harmony_leiden,0.6,0.12720031367236448,False
13,gs_ind_0,EMT_A_MESENCHYMAL,4/10,0.0037480696196024632,0.014992278478409853,9.188585607940446,51.3321652598096,harmony_leiden,0.6,0.03498198311628966,True
13,gs_ind_0,EMT_B_MESENCHYMAL,4/14,0.01425956483749398,0.02851912967498796,5.675883256528418,24.124362015256235,harmony_leiden,0.6,0.07985356308996629,False
13,gs_ind_0,EMT_C_HYBRID,1/11,0.5587568838866079,0.5587568838866079,1.8521303258145363,1.0780154405732034,harmony_leiden,0.6,1.0,False
13,gs_ind_0,EMT_C_MESENCHYMAL,4/16,0.02318177348493519,0.030909031313246918,4.76258064516129,17.928205881379544,harmony_leiden,0.6,0.10818160959636422,False
2,gs_ind_0,EMT_A_MESENCHYMAL,3/10,0.0031948628962722094,0.012779451585088837,14.64119241192412,84.13138241375914,harmony_leiden,0.6,0.03498198311628966,True
2,gs_ind_0,EMT_B_MESENCHYMAL,3/14,0.00884157606507557,0.017326513642142067,9.528808766348533,45.054972443627776,harmony_leiden,0.6,0.061891032455528995,False
2,gs_ind_0,EMT_C_HYBRID,2/11,0.046035589933547796,0.046035589933547796,8.115789473684211,24.98316332432106,harmony_leiden,0.6,0.18414235973419119,False
2,gs_ind_0,EMT_C_MESENCHYMAL,3/16,0.01299488523160655,0.017326513642142067,8.108702198133093,35.21771086764753,harmony_leiden,0.6,0.07985356308996629,False
3,gs_ind_0,EMT_C_MESENCHYMAL,1/16,0.815935952873828,0.815935952873828,0.8661169051661411,0.1761849952303511,harmony_leiden,0.6,1.0,False
4,gs_ind_0,EMT_A_MESENCHYMAL,1/10,0.6521950846781617,0.7723912010246936,1.4178868223189554,0.6060212075438708,harmony_leiden,0.6,1.0,False
4,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.7723912010246936,0.7723912010246936,0.9955444165970482,0.2571134028989587,harmony_leiden,0.6,1.0,False
4,gs_ind_0,EMT_C_HYBRID,1/11,0.6871503525497031,0.7723912010246936,1.2821339061940566,0.4810594070651021,harmony_leiden,0.6,1.0,False
4,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4859611905187856,0.7723912010246936,1.5517241379310345,1.1197652790566384,harmony_leiden,0.6,0.9071275556350665,False
6,gs_ind_0,EMT_C_HYBRID,1/11,0.6871503525497031,0.815935952873828,1.2821339061940566,0.4810594070651021,harmony_leiden,0.6,1.0,False
6,gs_ind_0,EMT_C_MESENCHYMAL,1/16,0.815935952873828,0.815935952873828,0.8661169051661411,0.1761849952303511,harmony_leiden,0.6,1.0,False
7,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.7723912010246936,0.7723912010246936,0.9955444165970482,0.2571134028989587,harmony_leiden,0.6,1.0,False
7,gs_ind_0,EMT_C_HYBRID,2/11,0.3026424059627462,0.45396360894411936,2.3750497149675196,2.838667372830134,harmony_leiden,0.6,0.7368684666919039,False
7,gs_ind_0,EMT_C_MESENCHYMAL,3/16,0.21021240394829258,0.45396360894411936,2.3464603844350678,3.659625993605602,harmony_leiden,0.6,0.5885947310552192,False
8,gs_ind_0,EMT_A_MESENCHYMAL,2/10,0.26380321943881124,0.4859611905187856,2.65594902948585,3.5391897520682605,harmony_leiden,0.6,0.6714991040260649,False
8,gs_ind_0,EMT_B_MESENCHYMAL,2/14,0.4157573805821314,0.4859611905187856,1.8020151133501259,1.5815447066059733,harmony_leiden,0.6,0.8530804504779462,False
8,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4859611905187856,0.4859611905187856,1.5517241379310345,1.1197652790566384,harmony_leiden,0.6,0.9071275556350665,False
9,gs_ind_0,EMT_A_MESENCHYMAL,6/10,1.2475910671005497e-05,4.990364268402199e-05,21.28985507246377,240.3988889922929,harmony_leiden,0.6,0.0006986509975763079,True
9,gs_ind_0,EMT_B_MESENCHYMAL,6/14,0.00014292522618081105,0.0002858504523616221,11.24691932108812,99.57110194836524,harmony_leiden,0.6,0.00400190633306271,True
9,gs_ind_0,EMT_C_HYBRID,5/11,0.00038873788804259183,0.00038873788804259183,12.360482654600302,97.06199099985157,harmony_leiden,0.6,0.005442330432596286,True
9,gs_ind_0,EMT_C_MESENCHYMAL,6/16,0.0003412366433764378,0.00038873788804259183,9.09486166007905,72.60368357766151,harmony_leiden,0.6,0.005442330432596286,True
0,gs_ind_0,EMT_A_MESENCHYMAL,3/10,0.0697156550851069,0.2788626203404276,4.237805907172996,11.28667721611285,harmony_leiden,0.8,0.5112481372907839,False
0,gs_ind_0,EMT_B_MESENCHYMAL,3/14,0.1577563477284104,0.2802832052643901,2.757622454595487,5.092511146691434,harmony_leiden,0.8,0.9249345773724874,False
0,gs_ind_0,EMT_C_HYBRID,1/11,0.6871503525497031,0.6871503525497031,1.2821339061940566,0.4810594070651021,harmony_leiden,0.8,1.0,False
0,gs_ind_0,EMT_C_MESENCHYMAL,3/16,0.21021240394829258,0.2802832052643901,2.3464603844350678,3.659625993605602,harmony_leiden,0.8,0.9249345773724874,False
1,gs_ind_0,EMT_A_MESENCHYMAL,2/10,0.26380321943881124,0.5276064388776225,2.65594902948585,3.5391897520682605,harmony_leiden,0.8,1.0,False
1,gs_ind_0,EMT_B_MESENCHYMAL,2/14,0.4157573805821314,0.5543431741095085,1.8020151133501259,1.5815447066059733,harmony_leiden,0.8,1.0,False
1,gs_ind_0,EMT_C_HYBRID,1/11,0.6871503525497031,0.6871503525497031,1.2821339061940566,0.4810594070651021,harmony_leiden,0.8,1.0,False
1,gs_ind_0,EMT_C_MESENCHYMAL,3/16,0.21021240394829258,0.5276064388776225,2.3464603844350678,3.659625993605602,harmony_leiden,0.8,0.9249345773724874,False
10,gs_ind_0,EMT_A_MESENCHYMAL,1/10,0.6521950846781617,0.7723912010246936,1.4178868223189554,0.6060212075438708,harmony_leiden,0.8,1.0,False
10,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.7723912010246936,0.7723912010246936,0.9955444165970482,0.2571134028989587,harmony_leiden,0.8,1.0,False
10,gs_ind_0,EMT_C_HYBRID,1/11,0.6871503525497031,0.7723912010246936,1.2821339061940566,0.4810594070651021,harmony_leiden,0.8,1.0,False
10,gs_ind_0,EMT_C_MESENCHYMAL,2/16,0.4859611905187856,0.7723912010246936,1.5517241379310345,1.1197652790566384,harmony_leiden,0.8,1.0,False
11,gs_ind_0,EMT_B_MESENCHYMAL,1/14,0.5346404307354118,0.5830024312204216,1.9815692469720905,1.2407810842648168,harmony_leiden,0.8,1.0,False
