SRR26540980	h07A_P
SRR26540982	h06C_P
SRR26540998	h66C_N
SRR26540999	h66C_P
SRR26541005	h66A_P
SRR26541010	h12C_P
SRR26541012	h12B_P
SRR26541014	h12A_P
SRR26541017	h02B_P
SRR26541019	h11B_P
SRR26541021	h11A_P
SRR26541023	h10C_P
SRR26541036	h07C_P
SRR26541040	h57A_P
SRR26541042	h56C_N
SRR26541052	h53C_N
SRR26541056	h53B_P
SRR26541057	h04A_P
SRR26541061	h53A_N
SRR26541065	h47B_N
SRR26541068	h47A_N
SRR26541075	h46B_N
SRR26541077	h46B_P
SRR26541078	h46A_N
SRR26541082	h45C_N
SRR26541085	h45B_N
SRR26541086	h45B_P
SRR26541103	h42C_P
SRR26541104	h04C_P
SRR26541105	h64C_N
SRR26541109	h64B_P
SRR26541112	h64A_P
SRR26541114	h63C_N
SRR26541116	h63C_P
SRR26541125	h57C_P
SRR26541126	h04B_P
SRR26541131	h52C_N
SRR26541132	h52C_P
SRR26541138	h52A_N
SRR26541149	h48A_P
SRR26541150	h03B1_P
SRR26541165	h39A_N
SRR26541166	h39A_P
SRR26541168	h30C_P
SRR26541177	h18B_N
SRR26541185	h17B_P
SRR26541193	h16B_N
SRR26541199	h15C_P
SRR26541206	h26B_P
SRR26541210	h23C_P
SRR26554494	B3
SRR26554495	B2
SRR26554496	B1
SRR26554503	B6
SRR26540976	h19B_P
SRR26540974	h19C_P
SRR26540977	h07B_P
SRR26540978	h02A_P
SRR26540984	h06B_P
SRR26540986	h06A_P
SRR26540988	h05C_P
SRR26540991	h05B_P
SRR26540995	h03C1_P
SRR26540993	h05A_P
SRR26541007	h15B_P
SRR26541001	h66B_N
SRR26541002	h66B_P
SRR26541016	h11C_P
SRR26541004	h66A_N
SRR26541008	h15A_P
SRR26541027	h10A_P
SRR26541030	h09C_P
SRR26541032	h09B_P
SRR26541025	h10B_P
SRR26541034	h09A_P
SRR26541038	h57B_P
SRR26541045	h56B_N
SRR26541039	h57A_N
SRR26541043	h56C_P
SRR26541047	h56B_P
SRR26541049	h56A_N
SRR26541055	h53B_N
SRR26541058	h01C_P
SRR26541062	h47C_N
SRR26541050	h56A_P
SRR26541063	h47C_P
SRR26541053	h53C_P
SRR26541073	h46C_P
SRR26541066	h47B_P
SRR26541069	h47A_P
SRR26541079	h46A_P
SRR26541072	h46C_N
SRR26541081	h03B2_P
SRR26541083	h45C_P
SRR26541089	h45A_P
SRR26541088	h45A_N
SRR26541091	h43C_N
SRR26541093	h43C_P
SRR26541095	h43B_N
SRR26541096	h43B_P
SRR26541099	h43A_P
SRR26541108	h64B_N
SRR26541098	h43A_N
SRR26541118	h63B_N
SRR26541101	h42C_N
SRR26541119	h63B_P
SRR26541106	h64C_P
SRR26541121	h63A_N
SRR26541111	h64A_N
SRR26541122	h63A_P
SRR26541128	h57B_N
SRR26541129	h53A_P
SRR26541124	h57C_N
SRR26541135	h52B_P
SRR26541144	h48B_P
SRR26541134	h52B_N
SRR26541147	h48A_N
SRR26541148	h03C2_P
SRR26541152	h42B_N
SRR26541153	h42B_P
SRR26541156	h42A_P
SRR26541139	h52A_P
SRR26541158	h39C_N
SRR26541141	h48C_N
SRR26541142	h48C_P
SRR26541173	h19A_P
SRR26541145	h48B_N
SRR26541175	h18C_P
SRR26541189	h16C_N
SRR26541155	h42A_N
SRR26541190	h02C_P
SRR26541159	h39C_P
SRR26541162	h39B_N
SRR26541194	h16B_P
SRR26541163	h39B_P
SRR26541197	h16A_P
SRR26541201	h03A2_P
SRR26541170	h30B_P
SRR26541208	h26A_P
SRR26541213	h23B_P
SRR26541178	h18B_P
SRR26541219	h20B_P
SRR26541181	h18A_P
SRR26541221	h20A_P
SRR26541183	h17C_P
SRR26541223	h03A1_P
SRR26541225	h01A_P
SRR26541187	h17A_P
SRR26541191	h16C_P
SRR26554504	B5
SRR26541196	h16A_N
SRR26541202	h30A_P
SRR26541204	h26C_P
SRR26541215	h23A_P
SRR26541217	h20C_P
SRR26554493	B4
SRR26554501	C5
SRR26554502	C4
