# jaccard_emt_vs_gavish | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_tum_64_nomt | vanished dimensions PRUNED (DRVI's own behaviour) | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,EMT_A_EPITHELIAL,EMT_B_EPITHELIAL,EMT_C_EPITHELIAL,EMT_A_HYBRID,EMT_B_HYBRID,EMT_C_HYBRID,EMT_A_MESENCHYMAL,EMT_B_MESENCHYMAL,EMT_C_MESENCHYMAL,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4
EMT_A_EPITHELIAL,1.0,0.5556,0.4333,0.0,0.0,0.0213,0.0,0.0,0.0,0.0,0.0,0.0833,0.0
EMT_B_EPITHELIAL,0.5556,1.0,0.7188,0.0,0.0,0.0169,0.0,0.0,0.0,0.0,0.0132,0.0845,0.0
EMT_C_EPITHELIAL,0.4333,0.7188,1.0,0.0526,0.0435,0.0517,0.0,0.0,0.0,0.0,0.0263,0.0541,0.0
EMT_A_HYBRID,0.0,0.0,0.0526,1.0,0.6,0.3235,0.0,0.0227,0.0192,0.0,0.069,0.0,0.0
EMT_B_HYBRID,0.0,0.0,0.0435,0.6,1.0,0.4722,0.0263,0.0392,0.0339,0.0149,0.0606,0.0,0.0147
EMT_C_HYBRID,0.0213,0.0169,0.0517,0.3235,0.4722,1.0,0.0833,0.1,0.0882,0.0519,0.0921,0.0122,0.025
EMT_A_MESENCHYMAL,0.0,0.0,0.0,0.0,0.0263,0.0833,1.0,0.5758,0.4634,0.0984,0.0299,0.0299,0.0303
EMT_B_MESENCHYMAL,0.0,0.0,0.0,0.0227,0.0392,0.1,0.5758,1.0,0.7619,0.08,0.0641,0.0247,0.025
EMT_C_MESENCHYMAL,0.0,0.0,0.0,0.0192,0.0339,0.0882,0.4634,0.7619,1.0,0.0723,0.046,0.0225,0.0227
MP12_EMT_1,0.0,0.0,0.0,0.0,0.0149,0.0519,0.0984,0.08,0.0723,1.0,0.0889,0.0208,0.0899
MP13_EMT_2,0.0,0.0132,0.0263,0.069,0.0606,0.0921,0.0299,0.0641,0.046,0.0889,1.0,0.0989,0.0312
MP14_EMT_3,0.0833,0.0845,0.0541,0.0,0.0,0.0122,0.0299,0.0247,0.0225,0.0208,0.0989,1.0,0.0
MP15_EMT_4,0.0,0.0,0.0,0.0,0.0147,0.025,0.0303,0.025,0.0227,0.0899,0.0312,0.0,1.0
