# pipeline_recall | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | run drvi_tum_64_nomt | recall of a signature collection by two pipelines on ONE set of cells: Leiden clusters vs DRVI decoder directions, identical ORA downstream | 05_10_pipeline_recall
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
arm,description,unit,resolution,n_gene_lists,n_gene_lists_empty,median_genes_per_list,n_tests,n_signatures_testable,n_signatures_recovered,recall_any,n_signatures_named,recall_named,n_units_with_a_name,n_significant_pairs,mean_hits_per_list,max_hits_per_list,frac_lists_with_no_hit,median_best_fdr,recovered,named,min_cluster_cells,median_cluster_cells,max_cohort_dominance,n_clusters_one_cohort_over_80pct,recall
drvi_axes,"05_3: DRVI decoder, 64 dimensions x 2 directions (8 flagged vanished and NOT pruned)",axis,,128,0,200.0,2176,17,17,1.0,17,1.0,115,486,3.796875,13,0.1015625,1.3518458524059785e-17,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,,,,,1.0
drvi_axes_matched,"the first 75 of the 128 decoder directions, in DRVI's own reconstruction-effect order - the widest Leiden partition of this run",axis,,75,0,200.0,1275,17,17,1.0,17,1.0,65,301,4.013333333333334,13,0.13333333333333333,1.5541303709871663e-16,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,,,,,1.0
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.2,18,0,147.0,306,17,17,1.0,6,0.35294117647058826,18,82,4.555555555555555,9,0.0,6.217593080290556e-08,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP12_EMT_1; MP14_EMT_3; MP17_INTERFERON_MHC_II_1; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP5_STRESS,5.0,112.0,1.0,12.0,0.35294117647058826
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.4,18,0,200.0,306,17,17,1.0,7,0.4117647058823529,18,90,5.0,11,0.0,6.599879393525224e-07,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP12_EMT_1; MP14_EMT_3; MP17_INTERFERON_MHC_II_1; MP1_CELL_CYCLE_G2_M; MP23_SECRETED_2; MP5_STRESS; MP7_STRESS_IN_VITRO,13.0,1326.5,1.0,9.0,0.4117647058823529
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.6,26,0,186.5,442,17,17,1.0,8,0.47058823529411764,26,124,4.769230769230769,12,0.0,9.952028039068578e-09,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP12_EMT_1; MP14_EMT_3; MP17_INTERFERON_MHC_II_1; MP1_CELL_CYCLE_G2_M; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP5_STRESS; MP6_HYPOXIA,6.0,1366.0,1.0,13.0,0.47058823529411764
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,0.8,28,0,200.0,476,17,17,1.0,8,0.47058823529411764,27,147,5.25,11,0.03571428571428571,3.0443109022593976e-09,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP12_EMT_1; MP14_EMT_3; MP17_INTERFERON_MHC_II_1; MP1_CELL_CYCLE_G2_M; MP23_SECRETED_2; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA,10.0,1347.0,1.0,14.0,0.47058823529411764
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,1.0,36,0,169.0,612,17,17,1.0,7,0.4117647058823529,35,175,4.861111111111111,11,0.027777777777777776,5.206270931229238e-13,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP12_EMT_1; MP14_EMT_3; MP17_INTERFERON_MHC_II_1; MP1_CELL_CYCLE_G2_M; MP23_SECRETED_2; MP5_STRESS; MP6_HYPOXIA,6.0,749.0,1.0,18.0,0.4117647058823529
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,1.5,45,0,175.0,765,17,17,1.0,8,0.47058823529411764,44,238,5.288888888888889,10,0.022222222222222223,6.9350250315939685e-12,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP12_EMT_1; MP14_EMT_3; MP17_INTERFERON_MHC_II_1; MP1_CELL_CYCLE_G2_M; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP5_STRESS; MP6_HYPOXIA,10.0,583.0,1.0,22.0,0.47058823529411764
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,2.0,57,0,169.0,969,17,17,1.0,10,0.5882352941176471,56,301,5.280701754385965,12,0.017543859649122806,3.9529474831025665e-13,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP12_EMT_1; MP14_EMT_3; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP5_STRESS; MP6_HYPOXIA,5.0,461.0,1.0,31.0,0.5882352941176471
drvi_leiden,"05_3: DRVI, 64 latent dimensions",cluster,3.0,75,0,157.0,1275,17,17,1.0,13,0.7647058823529411,72,390,5.2,12,0.04,3.242504856610286e-14,MP10_PROTEIN_MATURATION; MP12_EMT_1; MP13_EMT_2; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP22_SECRETED_1; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP3_CELL_CYCLE_HMG_RICH; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,MP12_EMT_1; MP14_EMT_3; MP15_EMT_4; MP17_INTERFERON_MHC_II_1; MP18_INTERFERON_MHC_II_2; MP19_EPITHELIAL_SENESCENCE; MP1_CELL_CYCLE_G2_M; MP23_SECRETED_2; MP2_CELL_CYCLE_G1_S; MP39_METAL_RESPONSE; MP5_STRESS; MP6_HYPOXIA; MP7_STRESS_IN_VITRO,5.0,429.0,1.0,35.0,0.7647058823529411
