# signature_gene_contribution | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64_nomt | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP10_PROTEIN_MATURATION,proteostasis,HLA-C,0.72033,1.76484,0.059305,0.058475,0.620319,1
MP10_PROTEIN_MATURATION,proteostasis,HLA-A,0.643695,1.485048,0.049903,0.058014,0.567592,2
MP10_PROTEIN_MATURATION,proteostasis,PPIB,0.751829,1.588276,0.053372,0.046435,0.569257,3
MP10_PROTEIN_MATURATION,proteostasis,MALAT1,0.767341,2.46579,0.082859,0.043962,0.372242,4
MP10_PROTEIN_MATURATION,proteostasis,ITM2B,0.616472,1.064859,0.035783,0.039054,0.565054,5
MP10_PROTEIN_MATURATION,proteostasis,HSPA5,0.545871,0.842447,0.028309,0.034766,0.567637,6
MP10_PROTEIN_MATURATION,proteostasis,PDIA6,0.634336,1.052644,0.035372,0.034571,0.539694,7
MP10_PROTEIN_MATURATION,proteostasis,TMEM59,0.592313,0.882905,0.029669,0.03382,0.587065,8
MP10_PROTEIN_MATURATION,proteostasis,HSP90B1,0.609702,0.95545,0.032106,0.032981,0.553466,9
MP10_PROTEIN_MATURATION,proteostasis,PDIA3,0.554993,0.81063,0.02724,0.03268,0.570415,10
MP10_PROTEIN_MATURATION,proteostasis,LGALS3BP,0.417047,0.582164,0.019563,0.031883,0.592469,11
MP10_PROTEIN_MATURATION,proteostasis,TIMP1,0.480758,0.828005,0.027824,0.030652,0.470149,12
MP10_PROTEIN_MATURATION,proteostasis,CLU,0.510832,0.933765,0.031378,0.030557,0.442442,13
MP10_PROTEIN_MATURATION,proteostasis,LAPTM4A,0.622054,0.983247,0.033041,0.029179,0.491361,14
MP10_PROTEIN_MATURATION,proteostasis,SPP1,0.271617,0.475341,0.015973,0.028206,0.443587,15
MP10_PROTEIN_MATURATION,proteostasis,RPN2,0.474772,0.567839,0.019081,0.025116,0.572744,16
MP10_PROTEIN_MATURATION,proteostasis,PDIA4,0.460851,0.570836,0.019182,0.024372,0.527008,17
MP10_PROTEIN_MATURATION,proteostasis,PRDX4,0.569532,0.795741,0.02674,0.023155,0.436368,18
MP10_PROTEIN_MATURATION,proteostasis,SERPINA1,0.230426,0.332149,0.011161,0.021472,0.461912,19
MP10_PROTEIN_MATURATION,proteostasis,DDOST,0.501235,0.601674,0.020218,0.019886,0.46757,20
MP10_PROTEIN_MATURATION,proteostasis,EPCAM,0.538555,0.720786,0.024221,0.019757,0.401892,21
MP10_PROTEIN_MATURATION,proteostasis,GRN,0.442109,0.499294,0.016778,0.018111,0.465632,22
MP10_PROTEIN_MATURATION,proteostasis,PSAP,0.522781,0.697597,0.023442,0.017073,0.390738,23
MP10_PROTEIN_MATURATION,proteostasis,NEAT1,0.482421,0.801628,0.026937,0.016475,0.342974,24
MP10_PROTEIN_MATURATION,proteostasis,SLC3A2,0.445268,0.51459,0.017292,0.015841,0.408264,25
MP10_PROTEIN_MATURATION,proteostasis,APP,0.476934,0.625705,0.021026,0.015664,0.355988,26
MP10_PROTEIN_MATURATION,proteostasis,LAMP1,0.42396,0.442753,0.014878,0.015388,0.437307,27
MP10_PROTEIN_MATURATION,proteostasis,LMAN2,0.435837,0.450157,0.015127,0.014896,0.43292,28
MP10_PROTEIN_MATURATION,proteostasis,LAMP2,0.368895,0.361433,0.012145,0.014636,0.454652,29
MP10_PROTEIN_MATURATION,proteostasis,LRPAP1,0.329152,0.294117,0.009883,0.014106,0.475572,30
MP10_PROTEIN_MATURATION,proteostasis,EPHX1,0.316206,0.312662,0.010507,0.013628,0.439251,31
MP10_PROTEIN_MATURATION,proteostasis,ATP6AP2,0.390678,0.398137,0.013379,0.013549,0.415929,32
MP10_PROTEIN_MATURATION,proteostasis,ATP6AP1,0.336303,0.303339,0.010193,0.013493,0.458037,33
MP10_PROTEIN_MATURATION,proteostasis,TM9SF2,0.337609,0.320479,0.010769,0.012319,0.416524,34
MP10_PROTEIN_MATURATION,proteostasis,CTSA,0.273114,0.225946,0.007593,0.011361,0.444964,35
MP10_PROTEIN_MATURATION,proteostasis,PIGT,0.332051,0.304433,0.01023,0.01077,0.39695,36
