# dim_geneset_signed_significance | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_tum_64 | 05_4 - 05_8 signature interpretation
# CAVEAT: Cells are the aneuploid epithelium called by inferCNV in 05_1: a per-cohort THRESHOLD on a CNV score, not a validated clone assignment - no matched normal, no bulk WGS.
# CAVEAT: Cells no run covered (not_tested) were excluded rather than assumed normal, and 19 of the 29 cohorts of the epithelial compartment reach the 200-cell floor, so this is the tumour the call could reach in the patients with the most of it.
# CAVEAT: The CellTypist labels carried along (cell_type_01_4) come from a NORMAL breast atlas with no malignant class and are landmarks, never identities: every state reported here is a state of malignant epithelium, named by its genes and not by that label.
,MP2_CELL_CYCLE_G1_S,MP3_CELL_CYCLE_HMG_RICH,MP4_CHROMATIN,MP5_STRESS,MP6_HYPOXIA,MP7_STRESS_IN_VITRO,MP8_PROTEASOMAL_DEGRADATION,MP9_UNFOLDED_PROTEIN_RESPONSE,MP10_PROTEIN_MATURATION,MP11_TRANSLATION_INITIATION,MP12_EMT_1,MP13_EMT_2,MP14_EMT_3,MP15_EMT_4,MP17_INTERFERON_MHC_II_1,MP18_INTERFERON_MHC_II_2,MP19_EPITHELIAL_SENESCENCE,MP20_MYC,MP21_RESPIRATION,MP38_GLUTATHIONE,MP39_METAL_RESPONSE,MP22_SECRETED_1,MP23_SECRETED_2,MP25_ASTROCYTES,MP33_RBCS,MP36_IG,MP41_UNASSIGNED
DR 38,0.8123,1.4673,0.0,-0.0474,0.4155,-0.0,0.573,-0.101,-0.0639,0.779,-0.0,-2.9092,-7.0817,0.0363,-0.5401,-0.6895,-19.6885,0.4437,2.0614,-0.101,-0.3319,-2.1859,-1.9996,-0.4437,0.2106,0.0,0.0
DR 37,-0.0,0.4262,-0.101,0.5401,-0.0639,0.124,-0.1961,-0.101,-4.1923,0.2996,-8.4018,-9.4345,1.0447,-3.408,1.1206,-1.3508,0.1526,-0.0639,1.1206,-0.3661,-1.6359,0.0,-1.5461,-3.8635,-0.2106,-0.0,0.0
DR 11,0.0233,0.8755,0.101,-0.0,0.2106,0.3661,-0.573,0.101,-5.3736,1.4673,-1.6884,-6.5814,-4.4372,-2.2012,-6.4108,-7.249,-6.3629,1.1206,2.0614,0.3661,-1.2048,-0.1079,-5.7778,-1.4881,0.026,0.0,0.0
DR 47,-0.0,0.4262,0.0,-10.0923,-0.2106,-1.1206,-0.0,-0.573,-0.0,0.779,-0.0,-2.9092,1.4241,-0.1727,-0.1622,0.0012,-1.2048,1.1206,3.408,0.779,-0.3319,-15.6707,-3.0283,-0.4437,-0.0,-0.0,-0.0
DR 28,-2.034,-3.1206,-0.101,0.1622,1.4241,1.1206,-1.8301,0.101,-0.2951,-1.4673,-0.1194,-0.1079,-0.4155,-0.0,-0.3319,-0.2342,0.1526,-1.1206,-3.408,-0.0,-0.573,-0.0,0.1852,0.2309,-0.0,-0.0,0.0
DR 53,0.5246,0.1221,0.0,-1.9139,0.0639,-0.3661,0.1961,-0.101,-0.0,0.0164,0.2688,-0.0,-3.0283,-0.1727,2.38,2.2317,0.573,0.0639,1.1206,-0.0,1.2048,-0.0,-0.1852,1.1074,-0.026,0.0,0.0
DR 12,-0.0,-0.0,0.0,-1.4777,-1.4241,-3.79,-1.1206,-1.36,-1.664,-0.779,-1.3054,-12.7925,-6.1415,0.5917,-0.0,0.2342,-0.573,-2.0614,-1.1206,1.3117,-1.2048,-9.0567,3.0283,1.9993,0.4938,-0.0,0.0
DR 49,-0.0,0.4262,0.0,-0.0,-0.0,0.6938,-0.0,0.101,-1.664,1.4673,0.6938,0.2638,1.0447,-2.778,-2.9278,-4.7695,-2.1011,1.1206,3.408,-1.3117,1.2048,-0.0,-8.4018,-1.1074,-0.2106,0.0,0.0
DR 55,-0.0,0.1221,0.101,-0.0,1.0447,-0.3661,-0.0,0.101,-1.1074,0.2996,1.6884,0.2638,-2.4127,-0.5917,-0.5401,-4.0329,-0.8676,0.4437,-0.4437,-0.779,0.3319,-0.0,-1.5461,3.1649,0.026,0.0,-0.0
DR 17,-0.302,-0.0,-0.573,1.4777,0.6938,-0.6938,-3.8635,0.101,0.0639,0.0164,0.1194,0.0109,1.4241,1.2756,0.3319,1.3508,0.3319,-0.4437,1.1206,0.101,0.8676,0.5239,0.1852,1.4881,0.026,-0.0,0.0
DR 58,-0.0233,0.1221,0.0,0.8029,0.2106,-0.3661,-0.0,0.0,0.0639,1.4673,0.1194,0.2638,1.8979,0.0363,-0.3319,-1.01,-0.8676,1.1206,0.4437,0.0,-0.8676,0.1079,0.3547,1.4881,0.026,0.0,-0.0
DR 62,-0.0233,0.1221,0.0,-0.3319,0.4155,-0.124,-0.0,0.101,0.2951,-0.779,1.3054,0.4437,3.7,0.5917,1.1206,2.2317,0.3319,-1.1206,1.1206,0.3661,-1.2048,-0.0,-0.1852,1.4881,0.0,0.0,0.0
DR 63,0.5246,0.4262,0.0,0.8029,2.4127,0.3661,0.0,-0.101,-0.0639,-0.779,-0.4437,0.1079,-0.4155,0.3596,-1.4777,-4.0329,-0.3319,-0.4437,-1.1206,-0.3661,2.1011,-0.0,-0.0,-2.5303,0.2106,-0.0,0.0
